Account No,Organisation,City,Country,Region,Access,C40,Reporting year,Risks to city's water supply,Timescale,Magnitude,Risk description,Current population,Population year,City Location
14874,"City of Portland, OR","Portland, OR",United States of America,North America,public,C40,2018,Higher water prices,Long-term,NA,"Through the Water Bureauâ€™s Asset Management program, Portland seeks to ensure the most cost effective management of the water supply infrastructure, therefore keeping water rates as low as possible. Because Portland does not expect to experience water shortages or severe water stress due to climate change, we do no foresee rate increases for that reason.",639863,2016,"(45.52, -122.682)"
14874,"City of Portland, OR","Portland, OR",United States of America,North America,public,C40,2018,Regulatory,Long-term,NA,Some regulatory requirements related to water quality treatment may come into play in the future; however they are not related to climate change.,639863,2016,"(45.52, -122.682)"
16581,City of Seattle,Seattle,United States of America,North America,public,C40,2018,Increased water stress or scarcity,Long-term,NA,"SPU evaluated low cost operational or structural adaptation options that could be pursued to mitigate the reductions in supply from climate change.  If these options were implemented, supply would be fully restored to historic levels and would exceed the projected demand.",725000,2017,"(47.6062, -122.332)"
19233,MunicÃ­pio de Torres Vedras,Torres Vedras,Portugal,Europe,public,,2018,Increased water stress or scarcity,Long-term,Serious,"mudanÃ§as na biodiversidade, degradaÃ§Ã£o do habitat, declÃ­nios na reduÃ§Ã£o das cadeias produtivas agrÃ­colas, na recarga de aqÃ¼Ã­feros.",79465,2011,"(38.7637, -9.30148)"
19233,MunicÃ­pio de Torres Vedras,Torres Vedras,Portugal,Europe,public,,2018,Declining water quality,Long-term,Serious,problemas de saÃºde relacionados com o consumo de Ã¡gua.,79465,2011,"(38.7637, -9.30148)"
19233,MunicÃ­pio de Torres Vedras,Torres Vedras,Portugal,Europe,public,,2018,NA,Short-term,Serious,"condicionamento devido inundaÃ§Ã£o urbana, encerramento temporÃ¡rio de estradas,  danos de veÃ­culos, de edifÃ­cios e pessoas deslocadas de habitaÃ§Ã£o.",79465,2011,"(38.7637, -9.30148)"
20113,City of Vancouver,Vancouver,Canada,North America,public,C40,2018,Increased water stress or scarcity,Medium-term,Less Serious,"Reduced snowpack in winter could reduce storage in reservoirs, exacerbated by longer, hotter summers",631486,2016,"(49.2612, -123.114)"
31090,District of Columbia,"Washington, DC",United States of America,North America,public,C40,2018,Inadequate or ageing infrastructure,Short-term,Serious,"The District of Columbiaâ€™s Blue Plains Wastewater Facility is vulnerable to flooding because of its location adjacent to the Potomac River. The facility has historically been protected from flooding by a seawall built to withstand a 1-100 year flood. However, understanding that storms may become more frequent and intense, the DC Water and Sewer Authority decided to implement an adaptation action to prepare for more flooding due to climate change. This aligns with actions identified in our Climate Ready DC adaptation plan.",693972,2017,"(38.9072, -77.0369)"
50549,City of Fort Worth,Fort Worth,United States of America,North America,public,,2018,Higher water prices,Medium-term,NA,NA,833000,2015,"(32.7555, -97.3308)"
31090,District of Columbia,"Washington, DC",United States of America,North America,public,C40,2018,Inadequate or ageing infrastructure,Current,Serious,"The District's Climate Change Vulnerability Assessment reports that the Districtâ€™s stormwater collection system may be exposed to more extreme and frequent flooding due to the predicted increase in heavy precipitation events, as well as inundation from sea level rise and storm surge. As a result, storm sewers that are at or above capacity may experience more frequent and intense interior flooding. Additionally, the stormwater and combined sewer outfalls that discharge to the Potomac and Anacostia rivers are at low elevations compared to mean sea level. As a result, they will also be susceptible to flooding from sea level rise and storm surge â€œbacking upâ€ through the piped infrastructure which could cause additional flooding in low lying areas.",693972,2017,"(38.9072, -77.0369)"
31090,District of Columbia,"Washington, DC",United States of America,North America,public,C40,2018,Increased water stress or scarcity,Medium-term,Serious,"The 2010 Washington Metropolitan Area Water Supply Report states that rising temperatures as well as fluctuating weather patterns can increase evapotranspiration rates, cause short term droughts, reduce snow accumulation and cause earlier snowmelts. This can reduce water supplies and create low-flow periods during the summer months, when demand is often highest.",693972,2017,"(38.9072, -77.0369)"
31090,District of Columbia,"Washington, DC",United States of America,North America,public,C40,2018,Declining water quality,Medium-term,Serious,"The 2010 Washington Metropolitan Area Water Supply Report indicates that rising temperatures and increased precipitation intensity can lead to reduced oxygen levels from algae blooms. Additionally, urbanization has increased storm water runoff and the level of non-point source pollutants from sediment, chemicals, debris and nutrient contaminants. This can increase the treatments needs at local water treatment facilities.",693972,2017,"(38.9072, -77.0369)"
31090,District of Columbia,"Washington, DC",United States of America,North America,public,C40,2018,Declining water quality,Long-term,Serious,"While the Districtâ€™s drinking water supply is draw upstream of tidal influence, the 2010 Washington Metropolitan Area Water Supply Report reports that stream flow and sea level rise could affect salinity levels in tidal rivers in the greater Chesapeake Bay watershed. . This could be exacerbated during low flow periods in the summer months if droughts occur with greater severity or frequency.",693972,2017,"(38.9072, -77.0369)"
31109,City of Melbourne,City of Melbourne,Australia,Southeast Asia and Oceania,public,C40,2018,Increased water stress or scarcity,Medium-term,Serious,"Melbourne Water analysed the effect of greater consumption caused by population growth, and the possibility of worsening droughts due to climate change.It found, at worst, demand could outstrip supply by 2028, with the best case scenario seeing the city facing a water crisis within 50 years.",151176,2017,"(-37.8141, 144.963)"
31109,City of Melbourne,City of Melbourne,Australia,Southeast Asia and Oceania,public,C40,2018,Increased water demand,Medium-term,Serious,"Melbourne Water analysed the effect of greater consumption caused by population growth, and the possibility of worsening droughts due to climate change.It found, at worst, demand could outstrip supply by 2028, with the best case scenario seeing the city facing a water crisis within 50 years.",151176,2017,"(-37.8141, 144.963)"
31110,Roma Capitale,Roma,Italy,Europe,public,C40,2018,Increased water stress or scarcity,Short-term,Extremely serious,In case of severe drought condition the water supply of Rome could be affected,2876.614,2017,"(41.53, 12.2858)"
31110,Roma Capitale,Roma,Italy,Europe,public,C40,2018,Inadequate or ageing infrastructure,Current,Extremely serious,"There is no reduntant system of the main aqueduct of the City, and it is pretty aged.",2876.614,2017,"(41.53, 12.2858)"
31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,public,C40,2018,Increased water stress or scarcity,Short-term,Serious,NA,13857664,2017,"(35.41, 139.41)"
31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,public,C40,2018,Declining water quality,Short-term,Serious,NA,13857664,2017,"(35.41, 139.41)"
31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,public,C40,2018,Inadequate or ageing infrastructure,Short-term,Serious,NA,13857664,2017,"(35.41, 139.41)"
31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,public,C40,2018,NA,Short-term,Serious,Flooding,13857664,2017,"(35.41, 139.41)"
31112,Kaohsiung City Government,Kaohsiung,"Taiwan, Greater China",East Asia,public,,2018,Increased water stress or scarcity,Short-term,Serious,"Kaohsiung cityâ€™s water supply relies on river flow and rainwater. The rain falls into the river catchment area. If these areas are not able to have rain for one season or even longer, it would cause water supply crunch",2776912,2017,"(22.6297, 120.344)"
31113,City of Yokohama,Yokohama,Japan,East Asia,public,C40,2018,Increased water stress or scarcity,Long-term,Serious,NA,3731096,2017,"(35.4437, 139.638)"
31113,City of Yokohama,Yokohama,Japan,East Asia,public,C40,2018,Increased water stress or scarcity,Long-term,Serious,NA,3731096,2017,"(35.4437, 139.638)"
31114,City of Sydney,City of Sydney,Australia,Southeast Asia and Oceania,public,C40,2018,Increased water stress or scarcity,Medium-term,Serious,"Securing water to support healthy, resilient and liveable communities will require significant investment to diversify our water supply. Instead of using restrictions during times of water scarcity, we need more water to keep places green and cool, including maintaining urban waterways and irrigating public spaces.A special event: The Water Sensitive Sydney Summit brought together high level representatives from state and local government, businesses, developers, research institutions and peak industry associations. The group discussed the immense challenges of water management in the context of a growing population, aging infrastructure and a warming climate, while maintaining affordability and equity for Sydneyâ€™s diverse communities. The summit coincided with a review by the NSW Government into the economic and regulatory barriers to recycled water schemes. It also led to much broader discussion about embedding water sensitive principles into our cityâ€™s long-term planning, infrastructure and operations.It was also a powerful demonstration of the value of connecting across boundaries, and working together to advocate for solutions to the challenges we face across metropolitan Sydney.",233219,2017,"(-33.8675, 151.207)"
49335,Metropolitan Government of Nashville and Davidson County,Nashville,United States of America,North America,public,,2018,Declining water quality,Current,Less Serious,Increasing development and impervious surfaces,667560,2017,"(36.1627, -86.7816)"
31114,City of Sydney,City of Sydney,Australia,Southeast Asia and Oceania,public,C40,2018,Inadequate or ageing infrastructure,Medium-term,Serious,"Much of the water infrastructure that has served the City of Sydney well in the past is aging or reaching capacity, requiring large investments. Investment in wastewater treatment and pipe systems are also needed to manage the increased wastewater of a growing population.",233219,2017,"(-33.8675, 151.207)"
31114,City of Sydney,City of Sydney,Australia,Southeast Asia and Oceania,public,C40,2018,Higher water prices,Medium-term,Serious,"Sydney needs more affordable water to enhance resilience and liveability. Regulatory reform is one way to address current price distortions and cost recovery mechanisms for water servicing. Investing in flexible, place-based water sensitive solutions is often more time consuming and financially risky, particularly compared to conventional large-scale infrastructure. In addition, most boutique developments that embed water sensitive principles are not in the locations that need greening and cooling the most. Some of the hottest suburbs are the least likely to attract investment. They are also the least able to afford price increases associated with large infrastructure augmentations or innovations such as scarcity-based pricing.",233219,2017,"(-33.8675, 151.207)"
31114,City of Sydney,City of Sydney,Australia,Southeast Asia and Oceania,public,C40,2018,Regulatory,Medium-term,Serious,"Regulatory, pricing and institutional arrangements donâ€™t support water sensitive cities. We need to open the dialogue with regulators to make sure we include community values and adequately consider the long-term legacy we create through infrastructure investment. These investment decisions should also include recreation, social cohesion, comfort and connectedness Further, encouraging and supporting private sector innovation and moving towards people centric design supports affordable water sensitive outcomes.",233219,2017,"(-33.8675, 151.207)"
31114,City of Sydney,City of Sydney,Australia,Southeast Asia and Oceania,public,C40,2018,Increased water demand,Medium-term,Serious,"With a population expected to grow from 4.7 million to 8 million over the next 40 years Sydney will need a lot more water. Broader community outcomes in investment decisions are required and these include recreation, social cohesion, comfort and connectedness.",233219,2017,"(-33.8675, 151.207)"
31146,Addis Ababa City Administration,Addis Ababa,Ethiopia,Africa,public,C40,2018,Increased water stress or scarcity,Short-term,Serious,NA,3103374,2013,"(9.02887, 38.7544)"
31146,Addis Ababa City Administration,Addis Ababa,Ethiopia,Africa,public,C40,2018,Inadequate or ageing infrastructure,Short-term,Serious,NA,3103374,2013,"(9.02887, 38.7544)"
31146,Addis Ababa City Administration,Addis Ababa,Ethiopia,Africa,public,C40,2018,Increased water demand,Short-term,Serious,NA,3103374,2013,"(9.02887, 38.7544)"
31150,Bangkok Metropolitan Administration,Bangkok,Thailand,Southeast Asia and Oceania,public,C40,2018,Increased water stress or scarcity,Short-term,Less Serious,"Several areas in Thailand experience drought every year. Between November and May, the average temperature begins to steadily increase during April reaching 40-43 degrees Celsius causing the natural convection to slow down and with combination of little rainfall. This results in drought in outer areas of Bangkok including Khan Na Yao district (BMA, 2013).",5682415,2017,"(13.7712, 100.556)"
31156,Municipality of Curitiba,Curitiba,Brazil,Latin America,public,C40,2018,Increased water stress or scarcity,Long-term,Less Serious,"Foram estudados dois cenÃ¡rios com padrÃµesclimÃ¡ticos atuais onde somente a demanda varia: atual e futura. Os demais cenÃ¡rios climÃ¡ticos futuros levam em consideraÃ§Ã£o a variabilidade da disponibilidade hÃ­drica assim como a projeÃ§Ã£o futura da demanda.A comparaÃ§Ã£o dos resultados destes dois cenÃ¡rios com os resultados dos demais cenÃ¡rios climÃ¡ticos futuros indicam que a causa principal do estresse hÃ­drico sobre o sistema de mananciais Ã© causada pelo aumento da demanda. A maioria dos cenÃ¡rios climÃ¡ticosfuturos, no entanto, indicam um acrÃ©scimo na disponibilidade hÃ­drica mÃ©dia anual, atenuando, portanto, os efeitos de um aumento da demanda sobre os mananciais.75% dos cenarios climaticos aqui estudados indicam uma atenuacao a potencialsituacao de estresse hidrico. Os cenÃ¡rios simulados com o modelo HadRM3P indicam, emmÃ©dia, uma atenuaÃ§Ã£o de aproximadamente 50% no nÃºmero de falhas de abastecimento do sistema que seria esperado em relaÃ§Ã£o aos padrÃµes climÃ¡ticos atuais. Alguns cenÃ¡riossimulados com o modelo CGCM3 indicam uma atenuaÃ§Ã£o no nÃºmero de falhas no abastecimento, enquanto outros indicam um agravamento da situaÃ§Ã£o de estresse hÃ­drico.",1751907,2010,"(-25.4311, -49.2647)"
31164,Ho Chi Minh City,Ho Chi Minh,Viet Nam,Southeast Asia and Oceania,public,C40,2018,Inadequate or ageing infrastructure,Short-term,Less Serious,NA,8611000,2017,"(10.7626, 106.66)"
31164,Ho Chi Minh City,Ho Chi Minh,Viet Nam,Southeast Asia and Oceania,public,C40,2018,Increased water demand,Current,Less Serious,NA,8611000,2017,"(10.7626, 106.66)"
31164,Ho Chi Minh City,Ho Chi Minh,Viet Nam,Southeast Asia and Oceania,public,C40,2018,Declining water quality,Current,Serious,NA,8611000,2017,"(10.7626, 106.66)"
31164,Ho Chi Minh City,Ho Chi Minh,Viet Nam,Southeast Asia and Oceania,public,C40,2018,Higher water prices,Short-term,Less Serious,NA,8611000,2017,"(10.7626, 106.66)"
31166,Jakarta City Government,Jakarta,Indonesia,Southeast Asia and Oceania,public,C40,2018,Increased water stress or scarcity,Current,NA,"Scarcity of clean water, especially in areas near the coast of North Jakarta and West Jakarta",10075310,2014,"(-6.1751, 106.865)"
31166,Jakarta City Government,Jakarta,Indonesia,Southeast Asia and Oceania,public,C40,2018,Declining water quality,Current,NA,Pollution caused by industrial and household activities,10075310,2014,"(-6.1751, 106.865)"
31166,Jakarta City Government,Jakarta,Indonesia,Southeast Asia and Oceania,public,C40,2018,Inadequate or ageing infrastructure,Current,NA,"Piped water coverage is still very limited, this has resulted in the utilization of underground water in an uncontrolled",10075310,2014,"(-6.1751, 106.865)"
31166,Jakarta City Government,Jakarta,Indonesia,Southeast Asia and Oceania,public,C40,2018,NA,Current,NA,Increased frequency of rain affecting the area increased inundation area / flood,10075310,2014,"(-6.1751, 106.865)"
31166,Jakarta City Government,Jakarta,Indonesia,Southeast Asia and Oceania,public,C40,2018,Higher water prices,Long-term,NA,Need for clean water is increasing resulting in increased demand for clean water that affect the price,10075310,2014,"(-6.1751, 106.865)"
31167,City of Lagos,Lagos,Nigeria,Africa,public,C40,2018,Increased water stress or scarcity,Current,Serious,Evaporation is projected to increase over Lagos State as temperatures rise. Increased rates of evaporation and longer dry periods are expected to lead to increased water demand for agriculture and human demands.,24821418,2017,"(6.52437, 3.3792)"
31167,City of Lagos,Lagos,Nigeria,Africa,public,C40,2018,Declining water quality,Medium-term,Serious,"Increased rainfall will result to greater amounts of runoff into  and from surface  water resources, thus leading to an increased risk of water borne diseases.Increase in temperature will lead to algal bloom which will also reduce the quality of available water.",24821418,2017,"(6.52437, 3.3792)"
31167,City of Lagos,Lagos,Nigeria,Africa,public,C40,2018,Inadequate or ageing infrastructure,Current,Serious,Aging infrastructure is affecting the water production operations efficiency which in turn leads to poor water quality,24821418,2017,"(6.52437, 3.3792)"
31167,City of Lagos,Lagos,Nigeria,Africa,public,C40,2018,Regulatory,Current,Serious,Weak regulatory framework and policies to safeguard water sources and water storage facilities.,24821418,2017,"(6.52437, 3.3792)"
31167,City of Lagos,Lagos,Nigeria,Africa,public,C40,2018,Higher water prices,Current,Extremely serious,"Water is highly expensive when compared with what citizens would have paid, if the public water corporation works efficiently. Presently the water sector market is largely dominated by the informal sector.",24821418,2017,"(6.52437, 3.3792)"
31167,City of Lagos,Lagos,Nigeria,Africa,public,C40,2018,Energy supply issues,Current,Extremely serious,"In the occurrence of rainstorms, there will be power outage thereby leading to disruption of water supply. This leads to reliance on standby generators or even independent power plants which invariably increases production costs.",24821418,2017,"(6.52437, 3.3792)"
31167,City of Lagos,Lagos,Nigeria,Africa,public,C40,2018,Increased water demand,Current,Serious,The population growth rate at 3.2% in the City is  causing a stress on water as existing infrastructures are struggling to meet with the rate of demand.,24821418,2017,"(6.52437, 3.3792)"
31168,City District Government Karachi,Karachi,Pakistan,South and West Asia,public,C40,2018,Increased water stress or scarcity,Current,Extremely serious,"water riots expected, the 1 Billion gallon per day  requirement is met through 600 Mgd",25000000,2014,"(24.9108, 67.1281)"
31169,Government of Hong Kong Special Administrative Region,Hong Kong,"China, Hong Kong Special Administrative Region",East Asia,public,C40,2018,Increased water stress or scarcity,Long-term,Serious,"Long term â€“ Currently, about 20 - 30% of freshwater water supply in Hong Kong comes from the local catchment and the remaining 70% to 80% is imported from Dongjiang (DJ) in Guangdong Province under a ""Package deal lump sum"" agreement, based on which an annual lump sum payment is made to the Guangdong authorities in exchange for a reliable and flexible supply of DJ water up to an annual supply ceiling of 820 million m3. Besides, 1,100 million m3 has been allocated and reserved for Hong Kong to meet its long term needs. Since the 1950s, the Water Supplies Department has been supplying seawater for toilet flushing. Currently, the network has covered about 85% of the population in Hong Kong. It saves about 270 million m3 of freshwater every year. With this three-pronged water supply system, we should be able to maintain the reliability level of water supply in Hong Kong not lower than 99% in the short to medium term.In the long-run, the water resources and security in Hong Kong face a number of uncertainties described in the Risk Description below.Serious - Hong Kong is an international city. Reliable water supply is essential to its daily operation and sustainable development. However, Hong Kong currently has two freshwater sources, local yield and DJ water, both of which are vulnerable to climate change impacts. In case of severe droughts, we may not be able to meet the 99% reliability requirement.  Risk Description - Water resources in Hong Kong are subject to a number of uncertainties and challenges including severe droughts arising from climate changes and continuous increase in water demand because of population growth.",7391700,2017,"(22.2881, 114.14)"
31169,Government of Hong Kong Special Administrative Region,Hong Kong,"China, Hong Kong Special Administrative Region",East Asia,public,C40,2018,Inadequate or ageing infrastructure,Medium-term,Less Serious,"Risk Description and Medium term - Hong Kong's fresh water and salt water supplies are provided through a network of about 7 800 kilometres of water mains. Most of these water mains are underground with some portion being laid more than 30 years ago.  Such water mains are progressively approaching the end of their service life and have become increasingly difficult and costly to maintain. Therefore, the timescale for the risk will be â€œMedium termâ€.Less serious -As a result of the ageing problem, we are facing an increasing number of main bursts and leakage cases that have caused inconvenience to the public and resulted in water loss. That said, such situation would not cast water supply crisis and their impact would be â€œLess seriousâ€.",7391700,2017,"(22.2881, 114.14)"
31172,Mexico City,Mexico City,Mexico,Latin America,public,C40,2018,Increased water stress or scarcity,Current,Extremely serious,"Water resources stress due high demand, not allowing natural recharge cycles. The extraction has exceeded the recharge capacity by infiltration, generating, in addition, significant differential subsidence in the CDMX and the ZMVM. These can vary between four and 36 cm / year41.4% of water leackages in the distribution system",8833416,2016,"(19.4326, -99.1332)"
31172,Mexico City,Mexico City,Mexico,Latin America,public,C40,2018,Inadequate or ageing infrastructure,Current,Extremely serious,41.4% of water leackages in the distribution system,8833416,2016,"(19.4326, -99.1332)"
31175,City of Paris,Paris,France,Europe,public,C40,2018,Increased water stress or scarcity,Long-term,NA,Only in conditions of more frequent and intense droughts + changes in rainfall patterns in the second part of the 21st century.,2265886,2015,"(48.8566, 2.35222)"
31175,City of Paris,Paris,France,Europe,public,C40,2018,Declining water quality,Short-term,NA,"There are already problems of water quality ongoing, however this risk might be enhanced in the long term if less water is available.",2265886,2015,"(48.8566, 2.35222)"
35475,City of Calgary,Calgary,Canada,North America,public,,2018,Increased water stress or scarcity,Current,Serious,"Reliable, secure, high quality water supplies are essential for Calgary and the region. History shows that our region is prone to prolonged, severe droughts while rapid growth continues to place upward pressure on water resources in the Bow River watershed. Our future water supply is further restricted because of climate change and the provincial closure of the South Saskatchewan River Basin to new water licences.",1246231,2017,"(51.0486, -114.071)"
