,Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,SNA price valuation,Lending category,System of National Accounts,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,Recent VALUES,Indicator Code,Topic,Indicator Name,Limitations and exceptions,Statistical concept and methodology
69,ITA,Italy,Italy,Italian Republic,IT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,IT,Original chained constant price data are rescaled.,Value added at basic prices (VAB),,Country uses the 2008 System of National Accounts methodology,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),"2012. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.",,"Income survey (IS), 2012",2010,2014.0,2016.0,2008.0,5.624840397000001,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
70,JOR,Jordan,Jordan,Hashemite Kingdom of Jordan,JO,Jordanian dinar,Expenditure data from 2010 removed as they are estimates.,Middle East & North Africa,Lower middle income,JO,1994,Value added at basic prices (VAB),IBRD,Country uses the 1968 System of National Accounts methodology,2011,BPM6,Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2015,"Demographic and Health Survey, 2012","Expenditure survey/budget survey (ES/BS), 2010",2007,2013.0,2016.0,2005.0,0.46093408,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
71,JPN,Japan,Japan,Japan,JP,Japanese yen,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,JP,Original chained constant price data are rescaled.,Value added at basic prices (VAB),,Country uses the 2008 System of National Accounts methodology,2011,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),2015,,"Integrated household survey (IHS), 2008",2010,2012.0,2016.0,2009.0,7.542060502000001,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
72,KAZ,Kazakhstan,Kazakhstan,Republic of Kazakhstan,KZ,Kazakh tenge,,Europe & Central Asia,Upper middle income,KZ,Original chained constant price data are rescaled.,Value added at basic prices (VAB),IBRD,Country uses the 1993 System of National Accounts methodology,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,"Multiple Indicator Cluster Survey, 2015","Expenditure survey/budget survey (ES/BS), 2015",2006/07,2013.0,2016.0,2010.0,0.18021030100000002,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
73,KEN,Kenya,Kenya,Republic of Kenya,KE,Kenyan shilling,Fiscal year end: June 30; reporting period for national accounts data: CY.,Sub-Saharan Africa,Lower middle income,KE,2009,Value added at basic prices (VAB),IDA Blend,Country uses the 2008 System of National Accounts methodology,2011,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2009,"Malaria Indicator Survey, 2015","Integrated household survey (IHS), 2005/06",,2013.0,2016.0,2010.0,0.28774860399999996,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
74,KGZ,Kyrgyz Republic,Kyrgyz Republic,Kyrgyz Republic,KG,Kyrgyz som,,Europe & Central Asia,Lower middle income,KG,Original chained constant price data are rescaled.,Value added at basic prices (VAB),IDA,,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,"Multiple Indicator Cluster Survey, 2014","Integrated household survey (IHS), 2015",,2012.0,2016.0,2006.0,0.293052262,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
75,KHM,Cambodia,Cambodia,Kingdom of Cambodia,KH,Cambodian riel,,East Asia & Pacific,Lower middle income,KH,2000,Value added at basic prices (VAB),IDA,Country uses the 1993 System of National Accounts methodology,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2008,"Demographic and Health Survey, 2014","Integrated household survey (IHS), 2012",2013,2000.0,2016.0,2006.0,0.409337456,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
76,KOR,Korea,"Korea, Rep.",Republic of Korea,KR,Korean won,The new base year is 2010. GDP data are available from 1970 onward while components are revised from 2000 onward only. Historical data in constant prices are linked to preserve growth rates.,East Asia & Pacific,High income,KR,2010,Value added at basic prices (VAB),,Country uses the 2008 System of National Accounts methodology,2011,BPM6,,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2015,,"Expenditure survey/budget survey (ES/BS), 1998",2010,2014.0,2016.0,2005.0,3.454575373,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
77,KWT,Kuwait,Kuwait,State of Kuwait,KW,Kuwaiti dinar,Fiscal year end: June 30; reporting period for national accounts data: CY.,Middle East & North Africa,High income,KW,2010,Value added at basic prices (VAB),,Country uses the 1968 System of National Accounts methodology,2011,BPM6,,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Family Health Survey, 1996",,,2013.0,2016.0,2002.0,0.045566011,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
78,LAO,Lao PDR,Lao PDR,Lao People's Democratic Republic,LA,Lao kip,New base Year 2012.,East Asia & Pacific,Lower middle income,LA,2012,Value added at basic prices (VAB),IDA,Country uses the 2008 System of National Accounts methodology,2011,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Budgetary central government,,2015,"Multiple Indicator Cluster Survey/Demographic and Health Survey, 2011/12","Expenditure survey/budget survey (ES/BS), 2012",2010/11,1999.0,2016.0,2005.0,0.08409516800000001,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
79,LBN,Lebanon,Lebanon,Lebanese Republic,LB,Lebanese pound,The new reference year is 2010.,Middle East & North Africa,Upper middle income,LB,2010,Value added at basic prices (VAB),IBRD,Country uses the 2008 System of National Accounts methodology,2011,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),1943,"Family Health Survey, 2004","Expenditure survey/budget survey (ES/BS), 2011/12",2010,2007.0,2016.0,2005.0,0.825180308,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
80,LBR,Liberia,Liberia,Republic of Liberia,LR,U.S. dollar,National accounts local currency data have been revised to be reported in U.S. dollars instead of Liberian dollars.,Sub-Saharan Africa,Low income,LR,2000,Value added at producer prices (VAP),IDA,Country uses the 1993 System of National Accounts methodology,2011,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2008,"Malaria Indicator Survey, 2016","Core Welfare Indicator Questionnaire Survey (CWIQ), 2007",,,2016.0,2000.0,4.01e-06,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
81,LBY,Libya,Libya,Socialist People's Libyan Arab Jamahiriya,LY,Libyan dinar,Official statistics for Libya are not available; national accounts data are based on World Bank estimates.,Middle East & North Africa,Upper middle income,LY,2003,Value added at basic prices (VAB),IBRD,Country uses the 1993 System of National Accounts methodology,,BPM5 (Converted into BPM6 by IMF),,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2006,"Family Health Survey, 2007",,2014/15,1980.0,2016.0,2012.0,9.22e-07,EF.EFM.OVRL.XD,Economic Policy & Debt,Economic Fitness Metric,"The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
