Account No,Organisation,City,Country,Region,Access,C40,Reporting Year,Risks to city's water supply,Adaptation action,Action description,City Location
14088,City of Oslo,Oslo,Norway,Europe,public,C40,2018,Increased water stress or scarcity,Investment in existing water supply infrastructure,"A lot of actions are taken to reduce the risk for NOT being able to deliver water from Oset WTP:â€¢	More water reservoirs are currently under constructionâ€¢	Improved  electrical supply â€¢	New back up plant under construction (with sieves, UV and chlorine)â€¢	Securing the site","(59.9139, 10.7522)"
14088,City of Oslo,Oslo,Norway,Europe,public,C40,2018,NA,Water metering,Small scale project to implement water meetering also in private households.,"(59.9139, 10.7522)"
14088,City of Oslo,Oslo,Norway,Europe,public,C40,2018,NA,Diversifying water supply (including new sources),From 2028 connecting a new separate water source to the pipeline network.,"(59.9139, 10.7522)"
14088,City of Oslo,Oslo,Norway,Europe,public,C40,2018,NA,Investment in existing water supply infrastructure,See text on top,"(59.9139, 10.7522)"
14088,City of Oslo,Oslo,Norway,Europe,public,C40,2018,NA,Stormwater management (natural or man-made infrastructure),High activity on re-opening urban rivers and streams and building separate sewage systems.,"(59.9139, 10.7522)"
14344,"City of Park City, UT",Park City,United States of America,North America,public,,2018,Increased water stress or scarcity,Water metering,Residential water meters exist. Adding water meters to municipal facilities in the short term.,"(40.6461, -111.498)"
14344,"City of Park City, UT",Park City,United States of America,North America,public,,2018,NA,Stormwater management (natural or man-made infrastructure),Stormwater management plan and emergency alert system in place.,"(40.6461, -111.498)"
14874,"City of Portland, OR","Portland, OR",United States of America,North America,public,C40,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"Through a robust asset management program, timely investments are made to minimize impacts to Portland's aging infrastructure, including inspections and replacements made in pipes located in areas with increased risk of landslides.","(45.52, -122.682)"
14874,"City of Portland, OR","Portland, OR",United States of America,North America,public,C40,2018,NA,Watershed preservation,Portland seeks to manage the watershed in ways that preserve its health and ecosystem functions.,"(45.52, -122.682)"
14874,"City of Portland, OR","Portland, OR",United States of America,North America,public,C40,2018,Higher water prices,Investment in existing water supply infrastructure,"Through asset management, timely investments are made to most cost effectively minimize risk while delivering on levels of service.","(45.52, -122.682)"
14874,"City of Portland, OR","Portland, OR",United States of America,North America,public,C40,2018,Regulatory,NA,NA,"(45.52, -122.682)"
16581,City of Seattle,Seattle,United States of America,North America,public,C40,2018,Increased water stress or scarcity,Other,"SPU has a comprehensive approach to reducing the risks to Seatleâ€™s water supply that include conducting  periodic research using best available science to inform our understanding of the potential impacts on our supply, collaborating with other utilities to build sectoral knowledge and capacity, engaging in federal climate initiatives initiatives, pursuing flexible adaptation pathways and implementing programs to promote efficiency and dynamic real time management.Climate Research:SPU was a pioneer in engaging with climate researchers to better understand the potential impacts of climate change on water supplies.  We have conducted two downscaling studies/impacts assessments with the University of Washington Climate Impacts Group and intent to conduct a third impacts assessment with the Climate Impacts Research Consortium in 2012 and 2013.  Our intent is to update our impacts assessments on a periodic basis as new information becomes available, such as new climate data generated for the IPCC assessment reports. Flexible Adaptation Pathways:SPU has used downscaled climate data to test the effectiveness of adaption options for offsetting the potential reductions in supply due to climate change.  SPU has emphasized low cost, intra system modifications and no regrets options that enhance the flexibility of the existing system rather than evaluating options that require major expansion and significant investments.Collaboration:SPU is an active leader in promoting collaboration on climate change within the water utility sector including the Water Utility Climate Alliance (WUCA), a group of 10 utilities in the US that provide drinking water to 43 million people.  WUCAâ€™s mission is to provide â€œleadership in assessing and adapting to the potential effects of climate change through collaborative action.   Engaging in Federal Climate Initiatives:SPU is active in federal climate initiatives.  SPU staff serve on the National Climate Assessment Development Advisory Committee, which is overseeing the development of the next US National Climate Assessment, and is serving as one of the Convening Lead Authors for the Water Resources Chapter.  SPU staff also co-chaired US EPAâ€™s Climate Ready Water Utilities Working Group.","(47.6062, -122.332)"
31110,Roma Capitale,Roma,Italy,Europe,public,C40,2018,Increased water stress or scarcity,Conservation awareness and education,"In order to limit the water consumption, a public campaign of awareness has been started by the water provider.Moreover, the enormous water leakage from aged water mains started to be performed in order to reduce the water losses.Currently part of the Tiber River water is planned to be withdrawn and treated to be mixed in the distribution network during drought events.","(41.53, 12.2858)"
19233,MunicÃ­pio de Torres Vedras,Torres Vedras,Portugal,Europe,public,,2018,Increased water stress or scarcity,Conservation awareness and education,A estratÃ©gia municipal de adaptaÃ§Ã£o Ã s alteraÃ§Ãµes climÃ¡ticas para o concelho de Torres Vedras foi concluÃ­da em 2016 e inclui um conjunto de 20 opÃ§Ãµes de adaptaÃ§Ã£o. OpÃ§Ã£o de adaptaÃ§Ã£o - Implementar o plano de sensibilizaÃ§Ã£o e comunicaÃ§Ã£o sobre as alteraÃ§Ãµes climÃ¡ticas.Em implementaÃ§Ã£o pela Unidade de MissÃ£o para as alteraÃ§Ãµes climÃ¡ticas.,"(38.7637, -9.30148)"
19233,MunicÃ­pio de Torres Vedras,Torres Vedras,Portugal,Europe,public,,2018,Declining water quality,Use of non-potable water outside,A estratÃ©gia municipal de adaptaÃ§Ã£o Ã s alteraÃ§Ãµes climÃ¡ticas para o concelho de Torres Vedras foi concluÃ­da em 2016 e inclui um conjunto de 20 opÃ§Ãµes de adaptaÃ§Ã£o. OpÃ§Ã£o de adaptaÃ§Ã£o - Implementar o plano municipal de gestÃ£o da Ã¡gua.Em implementaÃ§Ã£o pelos SMASTV.,"(38.7637, -9.30148)"
19233,MunicÃ­pio de Torres Vedras,Torres Vedras,Portugal,Europe,public,,2018,Increased water stress or scarcity,Stormwater management (natural or man-made infrastructure),A estratÃ©gia municipal de adaptaÃ§Ã£o Ã s alteraÃ§Ãµes climÃ¡ticas para o concelho de Torres Vedras foi concluÃ­da em 2016 e inclui um conjunto de 20 opÃ§Ãµes de adaptaÃ§Ã£o. OpÃ§Ã£o de adaptaÃ§Ã£o - Elaborar um plano de drenagem para a cidade de Torres Vedras.Em estudo pelos SMAS de Torres Vedras.,"(38.7637, -9.30148)"
20113,City of Vancouver,Vancouver,Canada,North America,public,C40,2018,Increased water stress or scarcity,Municipal water efficiency retrofits,"The 2016-2020 Clean Water Program will expand water conservation programs across all consumer sectors and all City facilities and parks, with a goal to reduce city and corporate water consumption per-capita by 33% by 2020. Continuing programs include hydrant leak detection improvements (projected annual savings of $200,000 and 2 million litres of water), and water efficiency retrofits in City-owned buildings.","(49.2612, -123.114)"
20113,City of Vancouver,Vancouver,Canada,North America,public,C40,2018,Increased water stress or scarcity,Water metering,The 2016-2020 Clean Water Program includes expanding water metering to all sectors.,"(49.2612, -123.114)"
20113,City of Vancouver,Vancouver,Canada,North America,public,C40,2018,Increased water stress or scarcity,Conservation awareness and education,"The 2016-2020 Clean Water Program includes ""WaterWise"" lawn and garden education.","(49.2612, -123.114)"
20113,City of Vancouver,Vancouver,Canada,North America,public,C40,2018,Increased water stress or scarcity,Water use restrictions,The 2016-2020 Clean Water Program includes lawn sprinkling education and enforcement and revised bylaws.,"(49.2612, -123.114)"
20113,City of Vancouver,Vancouver,Canada,North America,public,C40,2018,Increased water stress or scarcity,Use of non-potable water outside,The 2016-2020 Clean Water Program includes sale of rain barrels and indoor/outdoor water-saver kits.,"(49.2612, -123.114)"
20113,City of Vancouver,Vancouver,Canada,North America,public,C40,2018,Increased water stress or scarcity,Stormwater management (natural or man-made infrastructure),The City has a target to capture and treat 90% of Vancouverâ€™s average annual rainfall by using green infrastructure tools and design guidelines on public and private property.,"(49.2612, -123.114)"
31090,District of Columbia,"Washington, DC",United States of America,North America,public,C40,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"Climate Ready DC, the Districtâ€™s Climate Adaptation Plan, calls for the District to: flood proof critical components of drinking water infrastructure including, but not limited to, pumping stations, raw water reservoirs, finished water storage, waste treatment facilities, building infrastructure, access roads, etc.; and implement backflow prevention techniques. DC Water has also taken steps to update their facilities, investing $13 million dollars to construct a 17.2 ft high sea wall that will provide 3 feet of freeboard from 500 year storm events.  The sea wall is expected to be complete by 2021. DC Water has also invested in portable generators and water hardening at their facilities and pump stations.","(38.9072, -77.0369)"
31090,District of Columbia,"Washington, DC",United States of America,North America,public,C40,2018,Increased water stress or scarcity,Other: multiple,The Climate Ready DC Plan calls for the District to: reduce water demand and increase combined sewer system capacity with water recycling and reuse; and explore the use of distributed rainwater harvesting and grey/black water recycling to reduce demand on potable water systems during shortages or disruptions. Additionally changes were made to the Districtâ€™s building codes to allow for greywater/rainwater capture and reuse.,"(38.9072, -77.0369)"
31090,District of Columbia,"Washington, DC",United States of America,North America,public,C40,2018,Declining water quality,Stormwater management (natural or man-made infrastructure),"In 2013, the District finalized new stormwater regulations that require large development projects to install green infrastructure practices such as cisterns, rain gardens, green roofs and permeable pavement in order to retain stormwater on-site. The regulation allows development projects to meet a portion of stormwater retention requirement through Stormwater Retention Credits (SRC). The SRC program is an innovative open-market trading program where property owners who have voluntarily installed green practices can sell credits to others. The District also incentivizes voluntarily stormwater capture practices through the RiverSmart Program which provides property owners with discounts and rebates to help defray costs of rain barrels or cisterns.","(38.9072, -77.0369)"
31090,District of Columbia,"Washington, DC",United States of America,North America,public,C40,2018,Increased water stress or scarcity,Other: Regional coordination re: conservation,The 2010 Washington Metropolitan Area Water Supply Report indicates that mandatory water restrictions may be necessary during droughts and that DC Water should work with the Interstate Commission on the Potomac River Basin and other regional water utilities to review drought management practices that will conserve water storage in both local and upstream reservoirs.,"(38.9072, -77.0369)"
31109,City of Melbourne,City of Melbourne,Australia,Southeast Asia and Oceania,public,C40,2018,Increased water stress or scarcity,Efficiency regulations or standards,NA,"(-37.8141, 144.963)"
31109,City of Melbourne,City of Melbourne,Australia,Southeast Asia and Oceania,public,C40,2018,Increased water demand,Conservation awareness and education,NA,"(-37.8141, 144.963)"
31110,Roma Capitale,Roma,Italy,Europe,public,C40,2018,Increased water stress or scarcity,Diversifying water supply (including new sources),NA,"(41.53, 12.2858)"
31110,Roma Capitale,Roma,Italy,Europe,public,C40,2018,Increased water stress or scarcity,Diversifying water supply (including new sources),NA,"(41.53, 12.2858)"
31110,Roma Capitale,Roma,Italy,Europe,public,C40,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,A redundant system to transport the main water source to Rome is going to be planned and developed.,"(41.53, 12.2858)"
31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,public,C40,2018,Increased water stress or scarcity,NA,Securing water resources,"(35.41, 139.41)"
31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,public,C40,2018,Declining water quality,NA,Advanced water treatment,"(35.41, 139.41)"
31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,public,C40,2018,Inadequate or aging infrastructure,NA,Renewal of water purification plant,"(35.41, 139.41)"
31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,public,C40,2018,NA,NA,Implementing measures against flood,"(35.41, 139.41)"
31112,Kaohsiung City Government,Kaohsiung,"Taiwan, Greater China",East Asia,public,,2018,Increased water stress or scarcity,Diversifying water supply (including new sources),"For the purpose of the stability supply for water resources in Kaohsiung Region, the riverbank filtration as water intake works nearby the Kaoping River is to be accessed and acted as backup and supplement water resources to increase the reaction capacity of the water allocations. Develop interflow resources and riverbank water intake works evaluation near the Kaoping River(Weng park and Jhuliao area).","(22.6297, 120.344)"
31112,Kaohsiung City Government,Kaohsiung,"Taiwan, Greater China",East Asia,public,,2018,Increased water stress or scarcity,Diversifying water supply (including new sources),"Promote the construction of a desalination plant, given the high value industries without water will cause serious losses due to high water bills are more affordable to obtain a stable supply of incentives, short-term high-value industries will be set as the main objective to promote.Desalination of seawater: Kaohsiung area planning assessment on the daily processing capacity of 100,000 CMD desalination plant.","(22.6297, 120.344)"
31112,Kaohsiung City Government,Kaohsiung,"Taiwan, Greater China",East Asia,public,,2018,Increased water stress or scarcity,Conservation awareness and education,"Currently WRA schools around the reservoir has handled promotional activities related to water resources in the region and start promoting water conservation education rooted in actions to promote water conservation education materials on campus and agencies, programs and activities, organizing seminars train community love the water, promoting water conservation pickets and summer water conservation conservation camp, the concept of water conservation from an early age.","(22.6297, 120.344)"
31112,Kaohsiung City Government,Kaohsiung,"Taiwan, Greater China",East Asia,public,,2018,Increased water stress or scarcity,Conservation awareness and education,"By school authorities reported water system, forcing all levels of government agencies and schools handle water conservation competitions, through incentives motivate agencies, schools, irrigation associations and independent state-owned enterprises to implement water conservation. Water in a large enterprise can be in conjunction with the Industrial Development Bureau and the National Science Council, science parks and industrial zones to help manufacturers actively participate in water conservation merit selection, improved large water users on the importance of water conservation.","(22.6297, 120.344)"
31112,Kaohsiung City Government,Kaohsiung,"Taiwan, Greater China",East Asia,public,,2018,Increased water stress or scarcity,Diversifying water supply (including new sources),"Recycling of industrial wastewater recycling industry as the best sustainable development strategy, its water for industrial processes which use water after use, the industrial wastewater treatment plant after the industry can improve quality of water environment, water and insurance, and can relieve the Kaohsiung area problem of water shortage.  Recycle and reuse industrial waste water- enterprises that have taken such measure: China Steel (CSC), Yieh United Steel Corporation, Nantze export processing zone).","(22.6297, 120.344)"
31112,Kaohsiung City Government,Kaohsiung,"Taiwan, Greater China",East Asia,public,,2018,Increased water stress or scarcity,Diversifying water supply (including new sources),"Currently wastewater treatment technology has been available since the output to meet the water quality standards of recycled water, the water quality is stable and not subject to weather the impact of its effective recycling can improve the utilization of water resources for industrial zones, science parks area of high water rates Insurance is water.Reclamation of waste water â€“The civil works, electrical and pipeline utilities engineering of Fongshan waste water treatment plant will be completed in June. Afterward, the commissioning and function test will be performed in July. After all, the water supplying will be available in August, 2018.","(22.6297, 120.344)"
31113,City of Yokohama,Yokohama,Japan,East Asia,public,C40,2018,Increased water stress or scarcity,Conservation awareness and education,"Yokohama is preserving and nurturing the growth of headwaters forest owned by Yokohama city in the village ofDoshimura, Yamanashi Prefecture. Doshi Water Conservation Forest volunteer project: improvement of forest forheadwaters conservation, in collaboration with NPOs and volunteer groups Fund for Headwaters and the DoshiForest: establishment of a fund with donations from citizens, enterprises, and groups as well as with part of theproceeds from sales of Hamakko Doshi Water, a water product sold in plastic bottles. The Fund is used to supportactivities for conservation of headwaters.","(35.4437, 139.638)"
31113,City of Yokohama,Yokohama,Japan,East Asia,public,C40,2018,Increased water stress or scarcity,Conservation awareness and education,same as above,"(35.4437, 139.638)"
31167,City of Lagos,Lagos,Nigeria,Africa,public,C40,2018,Declining water quality,Water use restrictions,"Application of water abstraction rules, surcharge and tariff regime","(6.52437, 3.3792)"
31167,City of Lagos,Lagos,Nigeria,Africa,public,C40,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"The State Government is currently re-engineering the existing facilities for improved water production. In addition, new facilities are been developed by the Government and on Public Private Partnership (PPP) initiatives.","(6.52437, 3.3792)"
31114,City of Sydney,City of Sydney,Australia,Southeast Asia and Oceania,public,C40,2018,Increased water stress or scarcity,Diversifying water supply (including new sources),"The City is investing in a number of actions to reduce the risk to our water supply.  These include installing water reuse schemes in Sydney Park and at the city's newest development area at Green Square.In September 2013, the City entered into a contract with Flow Systems for the design, construction, operation, maintenance and administration of the Green Square Water Reuse project for up to 10 years. Flow Systems is delivering the project using their wholly-owned subsidiary, Green Square Water. The project will deliver recycled stormwater to the new buildings and open spaces in the Green Square Town Centre, saving precious drinking water and reducing water bills for residents.The project will deliver up to 320 million litres of recycled stormwater to the new buildings and open spaces in the Green Square Town Centre, saving precious drinking water and reducing water bills for residents. Flow Systems is a private water utility and will be licensed to operate the Green Square Water Re-use project under the Water Industry Competition Act.  The project has moved from the concept phase to detailed design and construction. It involves the extraction of stormwater from the proposed trunk drainage system being delivered by the City and Sydney Water, and construction of recycled water treatment plant and pump station in the Green Infrastructure Centre, a restored heritage building on the former South Sydney Hospital site.","(-33.8675, 151.207)"
31114,City of Sydney,City of Sydney,Australia,Southeast Asia and Oceania,public,C40,2018,Inadequate or aging infrastructure,Municipal water efficiency retrofits,"Since 2006, the number of parks and open spaces requiring irrigation in the Local Government Area has increased by 52 per cent. These include Wentworth Park, Redfern Park, Redfern Oval, Pirrama Park, Harmony Park, Prince Alfred Park, Paddington Reservoir Gardens, Peace Park, Lillian Fowler Reserve and Coulson Street Reserve.Council has met its 2016 target for water usage in City parks of 180L per square metre of irrigated space. City parks and open spaces are currently trending at 171L per square meter of irrigated space. The 2012 Parks Water Saving Action Plan outlines nine action items that will contribute to achieving the Cityâ€™s sustainable water targets. These include staff training, new technologies and improvements to reporting.  The City has replaced the existing irrigation systems at Waterloo Oval, Edmund Resche Reserve and Pirrama Park. These upgrades will improve water efficiency and reliability of systems, and reduce the need for frequent maintenance often required by aging systems. Improvements to the data capture, via Cloudmaster, and record keeping are establishing a more reliable data set in which to evaluate and establish real water targets for high water use parks. On-going training and specifications that establish the Cityâ€™s targets are providing greater efficiency in water use. As new technologies and systems become available, the City will explore each option for future alternate water supply.","(-33.8675, 151.207)"
31114,City of Sydney,City of Sydney,Australia,Southeast Asia and Oceania,public,C40,2018,Inadequate or aging infrastructure,Stormwater management (natural or man-made infrastructure),"In NSW, local councils are responsible for managing flooding. The NSW Government Flood Prone Land Policy assists in determining if development on floodplains is appropriate and sustainable.  The Floodplain Development Manual, developed by the NSW Government requires preparation of a Flood Study and a Floodplain Risk Management Study and development and implementation of a Floodplain Risk Management Plan.The City of Sydney local government area comprises eight drainage catchment areas in; Alexandra Canal, Blackwattle Bay, Centennial Park, City area, Darling Harbour, Johnstonâ€™s Creek, Rushcutters Bay and Woolloomooloo.The City has committed $1.8 million to city-wide Floodplain Risk Management Studies, which includes $600,000 in NSW and Federal Government grants. We have allocated $57 million for Green Square essential infrastructure drainage improvements, and $59 million over the next 10 years for drainage capacity works across Sydney.As part of our floodplain management approach, the City is undertaking the first ever city-wide look at the drainage issues and flood risks that exist in Sydney.  The work being undertaken includes a series of surveys of catchment areas.  These surveys will help us understand where drainage and mitigation works are required to ensure water flow and drainage is properly managed across the local government area.  This will dramatically reduce flood risk and safeguard local homes and businesses. The first Management Plan to be approved by Council is the Green Square West Kensington (GSWK) Floodplain Risk Management Study and Plan. This catchment is one of the lowest lying areas of our city, and subject to water ponding and flooding. The GSWK Plan proposes the creation of a large underground drainage culvert running 2.3 kilometres through the Green Square town centre from Link Road in Zetland to the Alexandra Canal. The culvert will drain floodwaters away from homes, businesses and roads in and around Joynton Avenue, Lachlan Street, South Dowling Street and Botany Road.","(-33.8675, 151.207)"
31115,City of Johannesburg,Johannesburg,South Africa,Africa,public,C40,2018,NA,Water use restrictions,A by-law that effects water restrictions is in place.,"(-26.2041, 28.0473)"
31150,Bangkok Metropolitan Administration,Bangkok,Thailand,Southeast Asia and Oceania,public,C40,2018,Increased water stress or scarcity,Conservation awareness and education,Action is relevant to Metropolitan Waterworks Authority,"(13.7712, 100.556)"
31156,Municipality of Curitiba,Curitiba,Brazil,Latin America,public,C40,2018,Increased water stress or scarcity,Use of non-potable water indoors (within building),NA,"(-25.4311, -49.2647)"
31166,Jakarta City Government,Jakarta,Indonesia,Southeast Asia and Oceania,public,C40,2018,Increased water stress or scarcity,Watershed preservation,- Consistently implement the local Ground Water Use Restrictions regulation to prevent contamination of seawater and further subsidence of ground water level. -.Plant vegetation to store and absorb water in residential areas to provide a water reserve for,"(-6.1751, 106.865)"
31166,Jakarta City Government,Jakarta,Indonesia,Southeast Asia and Oceania,public,C40,2018,Declining water quality,Efficiency regulations or standards,ERROR: #NAME?,"(-6.1751, 106.865)"
31166,Jakarta City Government,Jakarta,Indonesia,Southeast Asia and Oceania,public,C40,2018,Inadequate or aging infrastructure,Efficiency regulations or standards,ERROR: #NAME?,"(-6.1751, 106.865)"
31166,Jakarta City Government,Jakarta,Indonesia,Southeast Asia and Oceania,public,C40,2018,NA,Other: Stormwater management (natural or man made infrastructure),"- Restore damaged and lost water ecosystems (such as developed-over or contaminated lakes, ponds, canals, riversides, estuaries, coasts, mangrove forests, etc.) - Protection and dredging of rivers and canals. Restoration and development of ponds and reser","(-6.1751, 106.865)"
31166,Jakarta City Government,Jakarta,Indonesia,Southeast Asia and Oceania,public,C40,2018,Higher water prices,Water metering,ERROR: #NAME?,"(-6.1751, 106.865)"
31167,City of Lagos,Lagos,Nigeria,Africa,public,C40,2018,Increased water stress or scarcity,Conservation awareness and education,"On World Water day 2018, Lagos Water Corporation commemorated the event by educating the public on water conservation and also on connection to public water.Conduct public education on water sector issues","(6.52437, 3.3792)"
31167,City of Lagos,Lagos,Nigeria,Africa,public,C40,2018,Higher water prices,Water metering,"Deployment of over 17,000 units prepaid meters in certain areas across the State compared to the flat rate billing system currently in use","(6.52437, 3.3792)"
31167,City of Lagos,Lagos,Nigeria,Africa,public,C40,2018,Regulatory,Efficiency regulations or standards,"Implementation of Water Sector Law in the State through relevant Ministries, Departments and Agencies.","(6.52437, 3.3792)"
31167,City of Lagos,Lagos,Nigeria,Africa,public,C40,2018,Increased water demand,Other: Planning,Development of a Lagos Water Master plan,"(6.52437, 3.3792)"
31167,City of Lagos,Lagos,Nigeria,Africa,public,C40,2018,Energy supply issues,Other: Alternate Power Source,Installation of 33KV  Solar panel and accessories. Refurbishment of generating sets.,"(6.52437, 3.3792)"
31168,City District Government Karachi,Karachi,Pakistan,South and West Asia,public,C40,2018,Increased water stress or scarcity,Other,No action so far,"(24.9108, 67.1281)"
