

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Bhutan",64,"Urban population with access to safe drinking-water (JMP)",4116,2017,100.0,"I","","0"
"Bolivia (Plurinational State of)",68,"Total population",4104,2017,11192.855,"X","","0"
"Bolivia (Plurinational State of)",68,"Rural population",4105,2017,3417.155,"X","","0"
"Bolivia (Plurinational State of)",68,"Urban population",4106,2017,7634.445,"X","","0"
"Bolivia (Plurinational State of)",68,"% of area equipped for irrigation salinized",4445,2017,7.3721399731,"E","","0"
"Bolivia (Plurinational State of)",68,"Flood occurrence (WRI)",4543,2017,3.1,"I","","0"
"Bolivia (Plurinational State of)",68,"Total population with access to safe drinking-water (JMP)",4114,2017,90.0,"I","","0"
"Bolivia (Plurinational State of)",68,"Rural population with access to safe drinking-water (JMP)",4115,2017,75.6,"I","","0"
"Bolivia (Plurinational State of)",68,"Urban population with access to safe drinking-water (JMP)",4116,2017,96.7,"I","","0"
"Bosnia and Herzegovina",70,"Total population",4104,2017,3351.525,"X","","0"
"Bosnia and Herzegovina",70,"Rural population",4105,2017,1828.006,"X","","0"
"Bosnia and Herzegovina",70,"Urban population",4106,2017,1679.011,"X","","0"
"Bosnia and Herzegovina",70,"Flood occurrence (WRI)",4543,2017,3.6,"I","","0"
"Bosnia and Herzegovina",70,"Total population with access to safe drinking-water (JMP)",4114,2017,99.9,"I","","0"
"Bosnia and Herzegovina",70,"Rural population with access to safe drinking-water (JMP)",4115,2017,100.0,"I","","0"
"Bosnia and Herzegovina",70,"Urban population with access to safe drinking-water (JMP)",4116,2017,99.7,"I","","0"
"Botswana",72,"Total population",4104,2017,2205.08,"X","","0"
"Botswana",72,"Rural population",4105,2017,717.29,"X","","0"
"Botswana",72,"Urban population",4106,2017,1574.371,"X","","0"
"Botswana",72,"Flood occurrence (WRI)",4543,2017,2.1,"I","","0"
"Botswana",72,"Total population with access to safe drinking-water (JMP)",4114,2017,96.2,"I","","0"
"Botswana",72,"Rural population with access to safe drinking-water (JMP)",4115,2017,92.3,"I","","0"
"Botswana",72,"Urban population with access to safe drinking-water (JMP)",4116,2017,99.2,"I","","0"
"Brazil",76,"Total population",4104,2017,207833.823,"X","","0"
"Brazil",76,"Rural population",4105,2017,28654.406,"X","","0"
"Brazil",76,"Urban population",4106,2017,180633.872,"X","","0"
"Brazil",76,"% of area equipped for irrigation salinized",4445,2017,0.296091591,"E","","0"
"Brazil",76,"Flood occurrence (WRI)",4543,2017,3.1,"I","","0"
"Brazil",76,"Total population with access to safe drinking-water (JMP)",4114,2017,98.1,"I","","0"
"Brazil",76,"Rural population with access to safe drinking-water (JMP)",4115,2017,87.0,"I","","0"
"Brazil",76,"Urban population with access to safe drinking-water (JMP)",4116,2017,100.0,"I","","0"
"Brunei Darussalam",96,"Total population",4104,2017,424.473,"X","","0"
"Brunei Darussalam",96,"Rural population",4105,2017,97.263,"X","","0"
"Brunei Darussalam",96,"Urban population",4106,2017,331.434,"X","","0"
"Brunei Darussalam",96,"Flood occurrence (WRI)",4543,2017,2.3,"I","","0"
"Bulgaria",100,"Total population",4104,2017,7102.444,"X","","0"
"Bulgaria",100,"Rural population",4105,2017,1794.614,"X","","0"
"Bulgaria",100,"Urban population",4106,2017,5289.957,"X","","0"
"Bulgaria",100,"Flood occurrence (WRI)",4543,2017,3.2,"I","","0"
"Bulgaria",100,"Total population with access to safe drinking-water (JMP)",4114,2017,99.4,"I","","0"
"Bulgaria",100,"Rural population with access to safe drinking-water (JMP)",4115,2017,99.0,"I","","0"
"Bulgaria",100,"Urban population with access to safe drinking-water (JMP)",4116,2017,99.6,"I","","0"
"Burkina Faso",854,"Total population",4104,2017,19193.234,"X","","0"
"Burkina Faso",854,"Rural population",4105,2017,13676.652,"X","","0"
"Burkina Faso",854,"Urban population",4106,2017,5516.73,"X","","0"
"Burkina Faso",854,"Flood occurrence (WRI)",4543,2017,3.3,"I","","0"
"Burkina Faso",854,"Total population with access to safe drinking-water (JMP)",4114,2017,82.3,"I","","0"
"Burkina Faso",854,"Rural population with access to safe drinking-water (JMP)",4115,2017,75.8,"I","","0"
"Burkina Faso",854,"Urban population with access to safe drinking-water (JMP)",4116,2017,97.5,"I","","0"
"Burkina Faso",854,"Population affected by water related disease",4403,2017,6172.0,"I","","0"
"Burundi",108,"Total population",4104,2017,10827.019,"X","","0"
"Burundi",108,"Rural population",4105,2017,9483.827,"X","","0"
"Burundi",108,"Urban population",4106,2017,1380.418,"X","","0"
"Burundi",108,"Flood occurrence (WRI)",4543,2017,3.3,"I","","0"
"Burundi",108,"Total population with access to safe drinking-water (JMP)",4114,2017,75.9,"I","","0"
"Burundi",108,"Rural population with access to safe drinking-water (JMP)",4115,2017,73.8,"I","","0"
"Burundi",108,"Urban population with access to safe drinking-water (JMP)",4116,2017,91.1,"I","","0"
"Cabo Verde",132,"Total population",4104,2017,537.498,"X","","0"
"Cabo Verde",132,"Rural population",4105,2017,189.808,"X","","0"
"Cabo Verde",132,"Urban population",4106,2017,356.58,"X","","0"
"Cabo Verde",132,"Total population with access to safe drinking-water (JMP)",4114,2017,91.7,"I","","0"
"Cabo Verde",132,"Rural population with access to safe drinking-water (JMP)",4115,2017,87.3,"I","","0"
"Cabo Verde",132,"Urban population with access to safe drinking-water (JMP)",4116,2017,94.0,"I","","0"
"Cambodia",116,"Total population",4104,2017,16009.409,"X","","0"
"Cambodia",116,"Rural population",4105,2017,12327.338,"X","","0"
"Cambodia",116,"Urban population",4106,2017,3678.035,"X","","0"
"Cambodia",116,"Flood occurrence (WRI)",4543,2017,3.9,"I","","0"
"Cambodia",116,"Total population with access to safe drinking-water (JMP)",4114,2017,75.5,"I","","0"
"Cambodia",116,"Rural population with access to safe drinking-water (JMP)",4115,2017,69.1,"I","","0"
"Cambodia",116,"Urban population with access to safe drinking-water (JMP)",4116,2017,100.0,"I","","0"
"Cambodia",116,"Population affected by water related disease",4403,2017,507.0,"I","","0"
"Cameroon",120,"Total population",4104,2017,24566.073,"X","","0"
"Cameroon",120,"Rural population",4105,2017,10637.19,"X","","0"
"Cameroon",120,"Urban population",4106,2017,13416.537,"X","","0"
"Cameroon",120,"Flood occurrence (WRI)",4543,2017,2.2,"I","","0"
"Cameroon",120,"Total population with access to safe drinking-water (JMP)",4114,2017,75.6,"I","","0"
"Cameroon",120,"Rural population with access to safe drinking-water (JMP)",4115,2017,52.7,"I","","0"
"Cameroon",120,"Urban population with access to safe drinking-water (JMP)",4116,2017,94.8,"I","","0"
"Canada",124,"Total population",4104,2017,36732.095,"X","","0"
"Canada",124,"Rural population",4105,2017,6830.253,"X","","0"
"Canada",124,"Urban population",4106,2017,29793.946,"X","","0"
"Canada",124,"Flood occurrence (WRI)",4543,2017,1.9,"I","","0"
"Canada",124,"Total population with access to safe drinking-water (JMP)",4114,2017,99.8,"I","","0"
"Canada",124,"Rural population with access to safe drinking-water (JMP)",4115,2017,99.0,"I","","0"
"Canada",124,"Urban population with access to safe drinking-water (JMP)",4116,2017,100.0,"I","","0"
"Central African Republic",140,"Total population",4104,2017,4596.023,"X","","0"
"Central African Republic",140,"Rural population",4105,2017,2749.797,"X","","0"
"Central African Republic",140,"Urban population",4106,2017,1909.283,"X","","0"
"Central African Republic",140,"Flood occurrence (WRI)",4543,2017,2.3,"I","","0"
"Central African Republic",140,"Total population with access to safe drinking-water (JMP)",4114,2017,68.5,"I","","0"
"Central African Republic",140,"Rural population with access to safe drinking-water (JMP)",4115,2017,54.4,"I","","0"
"Central African Republic",140,"Urban population with access to safe drinking-water (JMP)",4116,2017,89.6,"I","","0"
"Chad",148,"Total population",4104,2017,15016.753,"X","","0"
"Chad",148,"Rural population",4105,2017,11494.121,"X","","0"
"Chad",148,"Urban population",4106,2017,3405.873,"X","","0"
"Chad",148,"Flood occurrence (WRI)",4543,2017,3.0,"I","","0"
"Chad",148,"Total population with access to safe drinking-water (JMP)",4114,2017,50.8,"I","","0"
"Chad",148,"Rural population with access to safe drinking-water (JMP)",4115,2017,44.8,"I","","0"
"Chad",148,"Urban population with access to safe drinking-water (JMP)",4116,2017,71.8,"I","","0"
"Chile",152,"Total population",4104,2017,18470.439,"X","","0"
"Chile",152,"Rural population",4105,2017,2258.558,"X","","0"
"Chile",152,"Urban population",4106,2017,15796.168,"X","","0"
"Chile",152,"% of area equipped for irrigation salinized",4445,2017,3.0311231394,"E","","0"
"Chile",152,"Flood occurrence (WRI)",4543,2017,2.5,"I","","0"
"Chile",152,"Total population with access to safe drinking-water (JMP)",4114,2017,99.0,"I","","0"
"Chile",152,"Rural population with access to safe drinking-water (JMP)",4115,2017,93.3,"I","","0"
"Chile",152,"Urban population with access to safe drinking-water (JMP)",4116,2017,99.7,"I","","0"
"China",156,"Total population",4104,2017,1452625.244,"X","","0"
"China",156,"Rural population",4105,2017,597816.52,"X","","0"
"China",156,"Urban population",4106,2017,843314.783,"X","","0"
"China",156,"% of area equipped for irrigation salinized",4445,2017,9.5901979589,"E","","0"
"China",156,"Flood occurrence (WRI)",4543,2017,3.5,"I","","0"
"China",156,"Total population with access to safe drinking-water (JMP)",4114,2017,95.5,"I","","0"
"China",156,"Rural population with access to safe drinking-water (JMP)",4115,2017,93.0,"I","","0"
"China",156,"Urban population with access to safe drinking-water (JMP)",4116,2017,97.5,"I","","0"
"Colombia",170,"Total population",4104,2017,48909.839,"X","","0"
"Colombia",170,"Rural population",4105,2017,9594.518,"X","","0"
"Colombia",170,"Urban population",4106,2017,39471.097,"X","","0"
"Colombia",170,"% of area equipped for irrigation salinized",4445,2017,27.5988960442,"E","","0"
"Colombia",170,"Flood occurrence (WRI)",4543,2017,3.7,"I","","0"
"Colombia",170,"Total population with access to safe drinking-water (JMP)",4114,2017,91.4,"I","","0"
"Colombia",170,"Rural population with access to safe drinking-water (JMP)",4115,2017,73.8,"I","","0"
"Colombia",170,"Urban population with access to safe drinking-water (JMP)",4116,2017,96.8,"I","","0"
"Colombia",170,"Population affected by water related disease",4403,2017,7.089,"I","","0"
"Comoros",174,"Total population",4104,2017,813.892,"X","","0"
"Comoros",174,"Rural population",4105,2017,579.639,"X","","0"
"Comoros",174,"Urban population",4106,2017,234.273,"X","","0"
"Comoros",174,"Flood occurrence (WRI)",4543,2017,1.6,"I","","0"
"Comoros",174,"Total population with access to safe drinking-water (JMP)",4114,2017,90.1,"I","","0"
"Comoros",174,"Rural population with access to safe drinking-water (JMP)",4115,2017,89.1,"I","","0"
"Comoros",174,"Urban population with access to safe drinking-water (JMP)",4116,2017,92.6,"I","","0"
"Congo",178,"Total population",4104,2017,5110.695,"X","","0"
"Congo",178,"Rural population",4105,2017,1764.522,"X","","0"
"Congo",178,"Urban population",4106,2017,3496.228,"X","","0"
"Congo",178,"Flood occurrence (WRI)",4543,2017,1.7,"I","","0"
"Congo",178,"Total population with access to safe drinking-water (JMP)",4114,2017,76.5,"I","","0"
"Congo",178,"Rural population with access to safe drinking-water (JMP)",4115,2017,40.0,"I","","0"
"Congo",178,"Urban population with access to safe drinking-water (JMP)",4116,2017,95.8,"I","","0"
"Congo",178,"Population affected by water related disease",4403,2017,175.2,"I","","0"
"Cook Islands",184,"Total population",4104,2017,17.507,"X","","0"
"Cook Islands",184,"Rural population",4105,2017,4.374,"X","","0"
"Cook Islands",184,"Urban population",4106,2017,13.006,"X","","0"
"Cook Islands",184,"Total population with access to safe drinking-water (JMP)",4114,2017,99.9,"I","","0"
"Cook Islands",184,"Rural population with access to safe drinking-water (JMP)",4115,2017,99.9,"I","","0"
"Cook Islands",184,"Urban population with access to safe drinking-water (JMP)",4116,2017,99.9,"I","","0"
"Costa Rica",188,"Total population",4104,2017,4949.954,"X","","0"
"Costa Rica",188,"Rural population",4105,2017,1051.813,"X","","0"
"Costa Rica",188,"Urban population",4106,2017,3853.956,"X","","0"
"Costa Rica",188,"Flood occurrence (WRI)",4543,2017,3.1,"I","","0"
"Costa Rica",188,"Total population with access to safe drinking-water (JMP)",4114,2017,97.8,"I","","0"
"Costa Rica",188,"Rural population with access to safe drinking-water (JMP)",4115,2017,91.9,"I","","0"
"Costa Rica",188,"Urban population with access to safe drinking-water (JMP)",4116,2017,99.6,"I","","0"
"Costa Rica",188,"Population affected by water related disease",4403,2017,315.9,"I","","0"
"Côte d'Ivoire",384,"Total population",4104,2017,24437.47,"X","","0"
"Côte d'Ivoire",384,"Rural population",4105,2017,12068.187,"X","","0"
"Côte d'Ivoire",384,"Urban population",4106,2017,12226.563,"X","","0"
"Côte d'Ivoire",384,"Flood occurrence (WRI)",4543,2017,2.3,"I","","0"
"Côte d'Ivoire",384,"Total population with access to safe drinking-water (JMP)",4114,2017,81.9,"I","","0"
"Côte d'Ivoire",384,"Rural population with access to safe drinking-water (JMP)",4115,2017,68.8,"I","","0"
"Côte d'Ivoire",384,"Urban population with access to safe drinking-water (JMP)",4116,2017,93.1,"I","","0"
"Côte d'Ivoire",384,"Population affected by water related disease",4403,2017,1423.0,"I","","0"
"Croatia",191,"Total population",4104,2017,4182.857,"X","","0"
"Croatia",191,"Rural population",4105,2017,1815.373,"X","","0"
"Croatia",191,"Urban population",4106,2017,2373.98,"X","","0"
"Croatia",191,"Flood occurrence (WRI)",4543,2017,3.0,"I","","0"
"Croatia",191,"Total population with access to safe drinking-water (JMP)",4114,2017,99.6,"I","","0"
"Croatia",191,"Rural population with access to safe drinking-water (JMP)",4115,2017,99.7,"I","","0"
"Croatia",191,"Urban population with access to safe drinking-water (JMP)",4116,2017,99.6,"I","","0"
"Cuba",192,"Total population",4104,2017,11339.254,"X","","0"
"Cuba",192,"Rural population",4105,2017,2644.108,"X","","0"
"Cuba",192,"Urban population",4106,2017,8840.528,"X","","0"
"Cuba",192,"% of area equipped for irrigation salinized",4445,2017,62.5889937255,"E","","0"
"Cuba",192,"Flood occurrence (WRI)",4543,2017,3.0,"I","","0"
"Cuba",192,"Total population with access to safe drinking-water (JMP)",4114,2017,94.9,"I","","0"
"Cuba",192,"Rural population with access to safe drinking-water (JMP)",4115,2017,89.8,"I","","0"
"Cuba",192,"Urban population with access to safe drinking-water (JMP)",4116,2017,96.4,"I","","0"
"Cuba",192,"Population affected by water related disease",4403,2017,1033.0,"I","","0"
"Cyprus",196,"Total population",4104,2017,1179.678,"X","","0"
"Cyprus",196,"Rural population",4105,2017,391.192,"X","","0"
"Cyprus",196,"Urban population",4106,2017,788.359,"X","","0"
"Cyprus",196,"Flood occurrence (WRI)",4543,2017,0.0,"I","","0"
"Cyprus",196,"Total population with access to safe drinking-water (JMP)",4114,2017,100.0,"I","","0"
"Cyprus",196,"Rural population with access to safe drinking-water (JMP)",4115,2017,100.0,"I","","0"
"Cyprus",196,"Urban population with access to safe drinking-water (JMP)",4116,2017,100.0,"I","","0"
"Czechia",203,"Total population",4104,2017,10641.034,"X","","0"
"Czechia",203,"Rural population",4105,2017,2795.276,"X","","0"
"Czechia",203,"Urban population",4106,2017,7823.027,"X","","0"
"Czechia",203,"Flood occurrence (WRI)",4543,2017,3.2,"I","","0"
"Czechia",203,"Total population with access to safe drinking-water (JMP)",4114,2017,100.0,"I","","0"
"Czechia",203,"Rural population with access to safe drinking-water (JMP)",4115,2017,100.0,"I","","0"
"Czechia",203,"Urban population with access to safe drinking-water (JMP)",4116,2017,100.0,"I","","0"
"Democratic People's Republic of Korea",408,"Total population",4104,2017,25429.825,"X","","0"
"Democratic People's Republic of Korea",408,"Rural population",4105,2017,9768.556,"X","","0"
"Democratic People's Republic of Korea",408,"Urban population",4106,2017,15722.409,"X","","0"
"Democratic People's Republic of Korea",408,"Flood occurrence (WRI)",4543,2017,3.0,"I","","0"
"Democratic People's Republic of Korea",408,"Total population with access to safe drinking-water (JMP)",4114,2017,99.7,"I","","0"
"Democratic People's Republic of Korea",408,"Rural population with access to safe drinking-water (JMP)",4115,2017,99.4,"I","","0"
"Democratic People's Republic of Korea",408,"Urban population with access to safe drinking-water (JMP)",4116,2017,99.9,"I","","0"
"Democratic Republic of the Congo",180,"Total population",4104,2017,81398.764,"X","","0"
"Democratic Republic of the Congo",180,"Rural population",4105,2017,45647.604,"X","","0"
"Democratic Republic of the Congo",180,"Urban population",4106,2017,35692.384,"X","","0"
"Democratic Republic of the Congo",180,"Flood occurrence (WRI)",4543,2017,1.9,"I","","0"
