

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Bahamas",44,"Total renewable water resources per capita",4190,2017,1833.6367565585,"E","","0"
"Bahrain",48,"Total internal renewable water resources per capita",4158,2017,2.6772399798,"E","","0"
"Bahrain",48,"Dependency ratio",4192,2017,96.5517241379,"E","","0"
"Bahrain",48,"Total renewable water resources per capita",4190,2017,77.639959413,"E","","0"
"Bahrain",48,"Interannual variability (WRI)",4541,2017,3.1,"I","","0"
"Bahrain",48,"Seasonal variability (WRI)",4542,2017,0.3,"I","","0"
"Bahrain",48,"Dam capacity per capita",4471,2017,0.0,"I","","0"
"Bangladesh",50,"National Rainfall Index (NRI)",4472,2017,2309.0,"I","","0"
"Bangladesh",50,"Total internal renewable water resources per capita",4158,2017,657.542794889,"E","","0"
"Bangladesh",50,"Dependency ratio",4192,2017,91.4427659588,"E","","0"
"Bangladesh",50,"Total renewable water resources per capita",4190,2017,7684.0576256979,"E","","0"
"Bangladesh",50,"Interannual variability (WRI)",4541,2017,0.7,"I","","0"
"Bangladesh",50,"Seasonal variability (WRI)",4542,2017,3.6,"I","","0"
"Bangladesh",50,"Dam capacity per capita",4471,2017,40.5609969762,"E","","0"
"Barbados",52,"Total internal renewable water resources per capita",4158,2017,279.4935576735,"E","","0"
"Barbados",52,"Dependency ratio",4192,2017,0.0,"E","","0"
"Barbados",52,"Total renewable water resources per capita",4190,2017,279.4935576735,"E","","0"
"Belarus",112,"National Rainfall Index (NRI)",4472,2017,615.7,"I","","0"
"Belarus",112,"Total internal renewable water resources per capita",4158,2017,3597.7956517677,"E","","0"
"Belarus",112,"Dependency ratio",4192,2017,41.2780656304,"E","","0"
"Belarus",112,"Total renewable water resources per capita",4190,2017,6126.834359922,"E","","0"
"Belarus",112,"Interannual variability (WRI)",4541,2017,1.1,"I","","0"
"Belarus",112,"Seasonal variability (WRI)",4542,2017,0.9,"I","","0"
"Belarus",112,"Dam capacity per capita",4471,2017,328.0343094259,"E","","0"
"Belgium",56,"National Rainfall Index (NRI)",4472,2017,1070.0,"I","","0"
"Belgium",56,"Total internal renewable water resources per capita",4158,2017,1050.8112788478,"E","","0"
"Belgium",56,"Dependency ratio",4192,2017,34.4262295082,"E","","0"
"Belgium",56,"Total renewable water resources per capita",4190,2017,1602.487200243,"E","","0"
"Belgium",56,"Interannual variability (WRI)",4541,2017,1.0,"I","","0"
"Belgium",56,"Seasonal variability (WRI)",4542,2017,1.4,"I","","0"
"Belgium",56,"Dam capacity per capita",4471,2017,12.6360056281,"E","","0"
"Belize",84,"National Rainfall Index (NRI)",4472,2017,2013.0,"I","","0"
"Belize",84,"Total internal renewable water resources per capita",4158,2017,40610.0556458888,"E","","0"
"Belize",84,"Dependency ratio",4192,2017,29.7874298334,"E","","0"
"Belize",84,"Total renewable water resources per capita",4190,2017,57838.7253871394,"E","","0"
"Belize",84,"Interannual variability (WRI)",4541,2017,1.1,"I","","0"
"Belize",84,"Seasonal variability (WRI)",4542,2017,2.2,"I","","0"
"Belize",84,"Dam capacity per capita",4471,2017,323.8691855901,"E","","0"
"Benin",204,"National Rainfall Index (NRI)",4472,2017,959.5,"I","","0"
"Benin",204,"Total internal renewable water resources per capita",4158,2017,921.6838932071,"E","","0"
"Benin",204,"Dependency ratio",4192,2017,60.9700644183,"E","","0"
"Benin",204,"Total renewable water resources per capita",4190,2017,2361.4794118189,"E","","0"
"Benin",204,"Interannual variability (WRI)",4541,2017,1.2,"I","","0"
"Benin",204,"Seasonal variability (WRI)",4542,2017,3.0,"I","","0"
"Benin",204,"Dam capacity per capita",4471,2017,2.1028710185,"E","","0"
"Bhutan",64,"National Rainfall Index (NRI)",4472,2017,2609.0,"I","","0"
"Bhutan",64,"Total internal renewable water resources per capita",4158,2017,104618.925563634,"E","","0"
"Bhutan",64,"Dependency ratio",4192,2017,0.0,"E","","0"
"Bhutan",64,"Total renewable water resources per capita",4190,2017,104618.925563634,"E","","0"
"Bhutan",64,"Interannual variability (WRI)",4541,2017,0.6,"I","","0"
"Bhutan",64,"Seasonal variability (WRI)",4542,2017,3.5,"I","","0"
"Bhutan",64,"Dam capacity per capita",4471,2017,0.0,"E","","0"
"Bolivia (Plurinational State of)",68,"National Rainfall Index (NRI)",4472,2017,1503.0,"I","","0"
"Bolivia (Plurinational State of)",68,"Total internal renewable water resources per capita",4158,2017,27115.5125300917,"E","","0"
"Bolivia (Plurinational State of)",68,"Dependency ratio",4192,2017,47.1254355401,"E","","0"
"Bolivia (Plurinational State of)",68,"Total renewable water resources per capita",4190,2017,51282.7156252806,"E","","0"
"Bolivia (Plurinational State of)",68,"Interannual variability (WRI)",4541,2017,2.5,"I","","0"
"Bolivia (Plurinational State of)",68,"Seasonal variability (WRI)",4542,2017,3.1,"I","","0"
"Bolivia (Plurinational State of)",68,"Dam capacity per capita",4471,2017,53.1647466174,"E","","0"
"Bosnia and Herzegovina",70,"National Rainfall Index (NRI)",4472,2017,1019.0,"I","","0"
"Bosnia and Herzegovina",70,"Total internal renewable water resources per capita",4158,2017,10592.1931061233,"E","","0"
"Bosnia and Herzegovina",70,"Dependency ratio",4192,2017,5.3333333333,"E","","0"
"Bosnia and Herzegovina",70,"Total renewable water resources per capita",4190,2017,11188.9363797077,"E","","0"
"Bosnia and Herzegovina",70,"Interannual variability (WRI)",4541,2017,1.0,"I","","0"
"Bosnia and Herzegovina",70,"Seasonal variability (WRI)",4542,2017,1.3,"I","","0"
"Bosnia and Herzegovina",70,"Dam capacity per capita",4471,2017,868.9775549936,"E","","0"
"Botswana",72,"National Rainfall Index (NRI)",4472,2017,430.4,"I","","0"
"Botswana",72,"Total internal renewable water resources per capita",4158,2017,1088.3958858636,"E","","0"
"Botswana",72,"Dependency ratio",4192,2017,80.3921568627,"E","","0"
"Botswana",72,"Total renewable water resources per capita",4190,2017,5550.8190179041,"E","","0"
"Botswana",72,"Interannual variability (WRI)",4541,2017,3.8,"I","","0"
"Botswana",72,"Seasonal variability (WRI)",4542,2017,2.4,"I","","0"
"Botswana",72,"Dam capacity per capita",4471,2017,503.2493152176,"E","","0"
"Brazil",76,"National Rainfall Index (NRI)",4472,2017,1934.0,"I","","0"
"Brazil",76,"Total internal renewable water resources per capita",4158,2017,27238.107437402,"E","","0"
"Brazil",76,"Dependency ratio",4192,2017,34.5322077021,"E","","0"
"Brazil",76,"Total renewable water resources per capita",4190,2017,41605.3550629245,"E","","0"
"Brazil",76,"Interannual variability (WRI)",4541,2017,1.7,"I","","0"
"Brazil",76,"Seasonal variability (WRI)",4542,2017,2.5,"I","","0"
"Brazil",76,"Dam capacity per capita",4471,2017,3370.1728134982,"E","","0"
"Brunei Darussalam",96,"National Rainfall Index (NRI)",4472,2017,3564.0,"I","","0"
"Brunei Darussalam",96,"Total internal renewable water resources per capita",4158,2017,20024.8307901798,"E","","0"
"Brunei Darussalam",96,"Dependency ratio",4192,2017,0.0,"E","","0"
"Brunei Darussalam",96,"Total renewable water resources per capita",4190,2017,20024.8307901798,"E","","0"
"Brunei Darussalam",96,"Interannual variability (WRI)",4541,2017,0.9,"I","","0"
"Brunei Darussalam",96,"Seasonal variability (WRI)",4542,2017,1.0,"I","","0"
"Brunei Darussalam",96,"Dam capacity per capita",4471,2017,106.0444362775,"E","","0"
"Bulgaria",100,"National Rainfall Index (NRI)",4472,2017,543.3,"I","","0"
"Bulgaria",100,"Total internal renewable water resources per capita",4158,2017,2956.7286978961,"E","","0"
"Bulgaria",100,"Dependency ratio",4192,2017,1.4084507042,"E","","0"
"Bulgaria",100,"Total renewable water resources per capita",4190,2017,2998.9676792946,"E","","0"
"Bulgaria",100,"Interannual variability (WRI)",4541,2017,1.2,"I","","0"
"Bulgaria",100,"Seasonal variability (WRI)",4542,2017,1.1,"I","","0"
"Bulgaria",100,"Dam capacity per capita",4471,2017,917.768587827,"E","","0"
"Burkina Faso",854,"National Rainfall Index (NRI)",4472,2017,759.0,"I","","0"
"Burkina Faso",854,"Total internal renewable water resources per capita",4158,2017,651.271171914,"E","","0"
"Burkina Faso",854,"Dependency ratio",4192,2017,7.4074074074,"E","","0"
"Burkina Faso",854,"Total renewable water resources per capita",4190,2017,703.3728656671,"E","","0"
"Burkina Faso",854,"Interannual variability (WRI)",4541,2017,1.5,"I","","0"
"Burkina Faso",854,"Seasonal variability (WRI)",4542,2017,4.0,"I","","0"
"Burkina Faso",854,"Dam capacity per capita",4471,2017,278.0965274013,"E","","0"
"Burundi",108,"National Rainfall Index (NRI)",4472,2017,997.8,"I","","0"
"Burundi",108,"Total internal renewable water resources per capita",4158,2017,929.1569544673,"E","","0"
"Burundi",108,"Dependency ratio",4192,2017,19.7511167837,"E","","0"
"Burundi",108,"Total renewable water resources per capita",4190,2017,1157.8440935589,"E","","0"
"Burundi",108,"Interannual variability (WRI)",4541,2017,1.4,"I","","0"
"Burundi",108,"Seasonal variability (WRI)",4542,2017,2.4,"I","","0"
"Cabo Verde",132,"National Rainfall Index (NRI)",4472,2017,144.0,"I","","0"
"Cabo Verde",132,"Total internal renewable water resources per capita",4158,2017,558.1416116897,"E","","0"
"Cabo Verde",132,"Dependency ratio",4192,2017,0.0,"E","","0"
"Cabo Verde",132,"Total renewable water resources per capita",4190,2017,558.1416116897,"E","","0"
"Cabo Verde",132,"Dam capacity per capita",4471,2017,0.0,"I","","0"
"Cambodia",116,"National Rainfall Index (NRI)",4472,2017,2348.0,"I","","0"
"Cambodia",116,"Total internal renewable water resources per capita",4158,2017,7533.0700839737,"E","","0"
"Cambodia",116,"Dependency ratio",4192,2017,74.6691871456,"E","","0"
"Cambodia",116,"Total renewable water resources per capita",4190,2017,29738.7617494187,"E","","0"
"Cambodia",116,"Interannual variability (WRI)",4541,2017,0.6,"I","","0"
"Cambodia",116,"Seasonal variability (WRI)",4542,2017,3.1,"I","","0"
"Cambodia",116,"Dam capacity per capita",4471,2017,0.0624632677,"E","","0"
"Cameroon",120,"National Rainfall Index (NRI)",4472,2017,1694.0,"I","","0"
"Cameroon",120,"Total internal renewable water resources per capita",4158,2017,11112.887273436,"E","","0"
"Cameroon",120,"Dependency ratio",4192,2017,3.5846724351,"E","","0"
"Cameroon",120,"Total renewable water resources per capita",4190,2017,11526.0587233458,"E","","0"
"Cameroon",120,"Interannual variability (WRI)",4541,2017,0.9,"I","","0"
"Cameroon",120,"Seasonal variability (WRI)",4542,2017,3.5,"I","","0"
"Cameroon",120,"Dam capacity per capita",4471,2017,635.4545555572,"E","","0"
"Canada",124,"National Rainfall Index (NRI)",4472,2017,693.6,"I","","0"
"Canada",124,"Total internal renewable water resources per capita",4158,2017,77588.8225270026,"E","","0"
"Canada",124,"Dependency ratio",4192,2017,1.7918676775,"E","","0"
"Canada",124,"Total renewable water resources per capita",4190,2017,79004.4782362672,"E","","0"
"Canada",124,"Interannual variability (WRI)",4541,2017,1.2,"I","","0"
"Canada",124,"Seasonal variability (WRI)",4542,2017,1.6,"I","","0"
"Canada",124,"Dam capacity per capita",4471,2017,22909.2759343021,"E","","0"
"Central African Republic",140,"National Rainfall Index (NRI)",4472,2017,1331.0,"I","","0"
"Central African Republic",140,"Total internal renewable water resources per capita",4158,2017,30678.6976479448,"E","","0"
"Central African Republic",140,"Dependency ratio",4192,2017,0.0,"E","","0"
"Central African Republic",140,"Total renewable water resources per capita",4190,2017,30678.6976479448,"E","","0"
"Central African Republic",140,"Interannual variability (WRI)",4541,2017,1.2,"I","","0"
"Central African Republic",140,"Seasonal variability (WRI)",4542,2017,3.6,"I","","0"
"Chad",148,"National Rainfall Index (NRI)",4472,2017,648.2,"I","","0"
"Chad",148,"Total internal renewable water resources per capita",4158,2017,998.8843793329,"E","","0"
"Chad",148,"Dependency ratio",4192,2017,67.1772428884,"E","","0"
"Chad",148,"Total renewable water resources per capita",4190,2017,3043.2677423675,"E","","0"
"Chad",148,"Interannual variability (WRI)",4541,2017,1.9,"I","","0"
"Chad",148,"Seasonal variability (WRI)",4542,2017,3.8,"I","","0"
"Chile",152,"National Rainfall Index (NRI)",4472,2017,2483.0,"I","","0"
"Chile",152,"Total internal renewable water resources per capita",4158,2017,47914.3998688932,"E","","0"
"Chile",152,"Dependency ratio",4192,2017,4.1232422594,"E","","0"
"Chile",152,"Total renewable water resources per capita",4190,2017,49974.9897660797,"E","","0"
"Chile",152,"Interannual variability (WRI)",4541,2017,2.9,"I","","0"
"Chile",152,"Seasonal variability (WRI)",4542,2017,3.5,"I","","0"
"Chile",152,"Dam capacity per capita",4471,2017,715.5130422184,"E","","0"
"China",156,"National Rainfall Index (NRI)",4472,2017,1049.0,"I","","0"
"China",156,"Total internal renewable water resources per capita",4158,2017,1936.4251114446,"E","","0"
"China",156,"Dependency ratio",4192,2017,0.9618973178,"E","","0"
"China",156,"Total renewable water resources per capita",4190,2017,1955.2324398405,"E","","0"
"China",156,"Interannual variability (WRI)",4541,2017,1.8,"I","","0"
"China",156,"Seasonal variability (WRI)",4542,2017,2.7,"I","","0"
"China",156,"Dam capacity per capita",4471,2017,571.6959714353,"E","","0"
"Colombia",170,"National Rainfall Index (NRI)",4472,2017,2862.0,"I","","0"
"Colombia",170,"Total internal renewable water resources per capita",4158,2017,43856.2065191014,"E","","0"
"Colombia",170,"Dependency ratio",4192,2017,9.1101694915,"E","","0"
"Colombia",170,"Total renewable water resources per capita",4190,2017,48252.050062974,"E","","0"
"Colombia",170,"Interannual variability (WRI)",4541,2017,1.3,"I","","0"
"Colombia",170,"Seasonal variability (WRI)",4542,2017,1.5,"I","","0"
"Colombia",170,"Dam capacity per capita",4471,2017,230.6760813504,"E","","0"
"Comoros",174,"National Rainfall Index (NRI)",4472,2017,2304.0,"I","","0"
"Comoros",174,"Total internal renewable water resources per capita",4158,2017,1474.3970944548,"E","","0"
"Comoros",174,"Dependency ratio",4192,2017,0.0,"E","","0"
"Comoros",174,"Total renewable water resources per capita",4190,2017,1474.3970944548,"E","","0"
"Congo",178,"National Rainfall Index (NRI)",4472,2017,1653.0,"I","","0"
"Congo",178,"Total internal renewable water resources per capita",4158,2017,43438.3190544535,"E","","0"
"Congo",178,"Dependency ratio",4192,2017,73.3173076923,"E","","0"
"Congo",178,"Total renewable water resources per capita",4190,2017,162795.862402276,"E","","0"
"Congo",178,"Interannual variability (WRI)",4541,2017,0.8,"I","","0"
"Congo",178,"Seasonal variability (WRI)",4542,2017,1.8,"I","","0"
"Congo",178,"Dam capacity per capita",4471,2017,1.7610129346,"E","","0"
"Cook Islands",184,"Dependency ratio",4192,2017,0.0,"","","6433"
"Cook Islands",184,"Total renewable water resources per capita",4190,2017,0.0,"E","","0"
"Costa Rica",188,"National Rainfall Index (NRI)",4472,2017,2865.0,"I","","0"
"Costa Rica",188,"Total internal renewable water resources per capita",4158,2017,22828.4949718725,"E","","0"
"Costa Rica",188,"Dependency ratio",4192,2017,0.0,"E","","0"
"Costa Rica",188,"Total renewable water resources per capita",4190,2017,22828.4949718725,"E","","0"
"Costa Rica",188,"Interannual variability (WRI)",4541,2017,1.0,"I","","0"
"Costa Rica",188,"Seasonal variability (WRI)",4542,2017,2.4,"I","","0"
"Costa Rica",188,"Dam capacity per capita",4471,2017,403.3714252698,"E","","0"
"Côte d'Ivoire",384,"National Rainfall Index (NRI)",4472,2017,1187.0,"I","","0"
"Côte d'Ivoire",384,"Total internal renewable water resources per capita",4158,2017,3144.3516861606,"E","","0"
"Côte d'Ivoire",384,"Dependency ratio",4192,2017,8.6760161635,"E","","0"
"Côte d'Ivoire",384,"Total renewable water resources per capita",4190,2017,3443.0732804992,"E","","0"
"Côte d'Ivoire",384,"Interannual variability (WRI)",4541,2017,1.1,"I","","0"
"Côte d'Ivoire",384,"Seasonal variability (WRI)",4542,2017,2.8,"I","","0"
"Côte d'Ivoire",384,"Dam capacity per capita",4471,2017,1524.0489297787,"E","","0"
"Croatia",191,"National Rainfall Index (NRI)",4472,2017,824.2,"I","","0"
"Croatia",191,"Total internal renewable water resources per capita",4158,2017,9012.9784498968,"E","","0"
"Croatia",191,"Dependency ratio",4192,2017,64.2654028436,"E","","0"
"Croatia",191,"Total renewable water resources per capita",4190,2017,25221.9953969261,"E","","0"
"Croatia",191,"Interannual variability (WRI)",4541,2017,1.0,"I","","0"
"Croatia",191,"Seasonal variability (WRI)",4542,2017,1.2,"I","","0"
"Croatia",191,"Dam capacity per capita",4471,2017,229.9863466525,"E","","0"
"Cuba",192,"National Rainfall Index (NRI)",4472,2017,1103.0,"I","","0"
"Cuba",192,"Total internal renewable water resources per capita",4158,2017,3361.7731819042,"E","","0"
"Cuba",192,"Dependency ratio",4192,2017,0.0,"E","","0"
"Cuba",192,"Total renewable water resources per capita",4190,2017,3361.7731819042,"E","","0"
"Cuba",192,"Interannual variability (WRI)",4541,2017,2.3,"I","","0"
"Cuba",192,"Seasonal variability (WRI)",4542,2017,2.3,"I","","0"
"Cuba",192,"Dam capacity per capita",4471,2017,499.3392863411,"E","","0"
"Cyprus",196,"National Rainfall Index (NRI)",4472,2017,344.3,"I","","0"
"Cyprus",196,"Total internal renewable water resources per capita",4158,2017,661.1973775895,"E","","0"
"Cyprus",196,"Dependency ratio",4192,2017,0.0,"E","","0"
"Cyprus",196,"Total renewable water resources per capita",4190,2017,661.1973775895,"E","","0"
"Cyprus",196,"Dam capacity per capita",4471,2017,282.8788872896,"E","","0"
"Czechia",203,"National Rainfall Index (NRI)",4472,2017,707.1,"I","","0"
"Czechia",203,"Total internal renewable water resources per capita",4158,2017,1235.7821617711,"E","","0"
"Czechia",203,"Dependency ratio",4192,2017,0.0,"E","","0"
"Czechia",203,"Total renewable water resources per capita",4190,2017,1235.7821617711,"E","","0"
"Czechia",203,"Interannual variability (WRI)",4541,2017,1.3,"I","","0"
"Czechia",203,"Seasonal variability (WRI)",4542,2017,0.6,"I","","0"
"Czechia",203,"Dam capacity per capita",4471,2017,299.2472348082,"E","","0"
"Democratic People's Republic of Korea",408,"Total internal renewable water resources per capita",4158,2017,2634.7015758072,"E","","0"
"Democratic People's Republic of Korea",408,"Dependency ratio",4192,2017,13.1561892417,"E","","0"
"Democratic People's Republic of Korea",408,"Total renewable water resources per capita",4190,2017,3033.8392025899,"E","","0"
"Democratic People's Republic of Korea",408,"Interannual variability (WRI)",4541,2017,1.3,"I","","0"
"Democratic People's Republic of Korea",408,"Seasonal variability (WRI)",4542,2017,3.8,"I","","0"
"Democratic People's Republic of Korea",408,"Dam capacity per capita",4471,2017,834.7035813263,"E","","0"
"Democratic Republic of the Congo",180,"National Rainfall Index (NRI)",4472,2017,1571.0,"I","","0"
"Democratic Republic of the Congo",180,"Total internal renewable water resources per capita",4158,2017,11056.6789441668,"E","","0"
"Democratic Republic of the Congo",180,"Dependency ratio",4192,2017,29.8519095869,"E","","0"
"Democratic Republic of the Congo",180,"Total renewable water resources per capita",4190,2017,15761.9100948511,"E","","0"
"Democratic Republic of the Congo",180,"Interannual variability (WRI)",4541,2017,1.2,"I","","0"
"Democratic Republic of the Congo",180,"Seasonal variability (WRI)",4542,2017,2.3,"I","","0"
"Democratic Republic of the Congo",180,"Dam capacity per capita",4471,2017,0.6494938916,"E","","0"
"Denmark",208,"National Rainfall Index (NRI)",4472,2017,694.0,"I","","0"
"Denmark",208,"Total internal renewable water resources per capita",4158,2017,1046.7050249168,"E","","0"
"Denmark",208,"Dependency ratio",4192,2017,0.0,"E","","0"
"Denmark",208,"Total renewable water resources per capita",4190,2017,1046.7050249168,"E","","0"
"Denmark",208,"Interannual variability (WRI)",4541,2017,1.0,"I","","0"
"Denmark",208,"Seasonal variability (WRI)",4542,2017,1.3,"I","","0"
"Denmark",208,"Dam capacity per capita",4471,2017,3.4890167497,"E","","0"
"Djibouti",262,"National Rainfall Index (NRI)",4472,2017,107.4,"I","","0"
"Djibouti",262,"Total internal renewable water resources per capita",4158,2017,317.7632854182,"E","","0"
"Djibouti",262,"Dependency ratio",4192,2017,0.0,"E","","0"
"Djibouti",262,"Total renewable water resources per capita",4190,2017,317.7632854182,"E","","0"
"Djibouti",262,"Interannual variability (WRI)",4541,2017,4.3,"I","","0"
"Djibouti",262,"Seasonal variability (WRI)",4542,2017,2.0,"I","","0"
"Dominica",212,"Total internal renewable water resources per capita",4158,2017,2798.8468750875,"E","","0"
"Dominica",212,"Dependency ratio",4192,2017,0.0,"","","6433"
"Dominica",212,"Total renewable water resources per capita",4190,2017,2798.8468750875,"E","","0"
"Dominican Republic",214,"National Rainfall Index (NRI)",4472,2017,820.9,"I","","0"
"Dominican Republic",214,"Total internal renewable water resources per capita",4158,2017,2235.3055767355,"E","","0"
"Dominican Republic",214,"Dependency ratio",4192,2017,0.0,"E","","0"
"Dominican Republic",214,"Total renewable water resources per capita",4190,2017,2235.3055767355,"E","","0"
"Dominican Republic",214,"Interannual variability (WRI)",4541,2017,2.5,"I","","0"
"Dominican Republic",214,"Seasonal variability (WRI)",4542,2017,1.5,"I","","0"
"Dominican Republic",214,"Dam capacity per capita",4471,2017,215.5119934132,"E","","0"
"Ecuador",218,"National Rainfall Index (NRI)",4472,2017,2575.0,"I","","0"
"Ecuador",218,"Total internal renewable water resources per capita",4158,2017,26356.2993968375,"E","","0"
"Ecuador",218,"Dependency ratio",4192,2017,0.0,"E","","0"
"Ecuador",218,"Total renewable water resources per capita",4190,2017,26356.2993968375,"E","","0"
"Ecuador",218,"Interannual variability (WRI)",4541,2017,2.9,"I","","0"
"Ecuador",218,"Seasonal variability (WRI)",4542,2017,2.8,"I","","0"
"Ecuador",218,"Dam capacity per capita",4471,2017,458.2445382021,"E","","0"
"Egypt",818,"National Rainfall Index (NRI)",4472,2017,106.6,"I","","0"
"Egypt",818,"Total internal renewable water resources per capita",4158,2017,10.3688628606,"E","","0"
