city,latitude,longitude,c40,country,risk0,risk1,risk2,risk3,risk4,risk5,risk6
Chapala,20.2962,-103.191,False,Mexico,Extremely serious,,Less Serious,Serious,,,
Chihuahua,28.6368,-106.076,False,Mexico,,,Serious,,,,
Chula Vista,32.64,-117.084,False,United States of America,,,Serious,,,,
Cincinnati,39.1031,-84.512,False,United States of America,Serious,,Serious,Serious,Serious,,Serious
City of Melbourne,-37.8141,144.963,True,Australia,,Serious,Serious,,,,
City of Sydney,-33.8675,151.207,True,Australia,,Serious,Serious,Serious,Serious,,Serious
Cleveland,41.4993,-81.6944,False,United States of America,Less Serious,,,Serious,,,
Clinton,41.839,-90.192,False,United States of America,Less Serious,Serious,,,Serious,,
Cocody,5.3602,-3.9674,False,CÃ´te d'Ivoire,,Less Serious,,,,,
Colina,-33.2043,-70.684,False,Chile,,,Serious,,,,
"Columbia, MO",38.9517,-92.3341,False,United States of America,Serious,,Serious,Serious,,,
Columbus,39.9612,-82.9988,False,United States of America,Serious,,Serious,,Serious,,
Comas,-11.95,-77.0667,False,Peru,,,Serious,,,,
Cruzeiro do Sul,-7.62799,-72.6761,False,Brazil,,,Serious,Serious,,,
Cuenca,-2.90841,-79.0048,False,Ecuador,,,Extremely serious,,,,
Culver City,34.02,-118.4,False,United States of America,Serious,,Serious,,,,
Curitiba,-25.4311,-49.2647,True,Brazil,,,Less Serious,,,,
CÃ³rdoba,-31.4201,-64.1888,False,Argentina,,,Less Serious,,,,
Dalian,38.9389,121.567,True,China,,,Serious,,Serious,,
Dar es Salaam,-6.79235,39.2083,True,United Republic of Tanzania,,,Serious,Serious,,,
Degollado,20.4489,-102.132,False,Mexico,Serious,,,,,,
Denver,39.7376,-104.985,False,United States of America,Serious,Serious,Serious,,,,
Detroit,42.3314,-83.0457,False,United States of America,,,,Serious,,,
Dhaka,23.8103,90.4125,True,Bangladesh,Serious,,Serious,Serious,,,
"Dublin, CA",37.7,-121.93,False,United States of America,,,Serious,,Serious,,
Durban,-29.8587,31.0218,True,South Africa,,,,Serious,,,
"Durham, NC",35.994,-78.8986,False,United States of America,,,Serious,Serious,,,
Easton,40.6884,-75.2207,False,United States of America,Less Serious,,,,,,
Edmonton,53.5444,-113.491,False,Canada,,,Extremely serious,,,,
Ekurhuleni,-26.1777,28.3462,False,South Africa,Serious,,Serious,Serious,,,
Emeryville,37.8313,-122.285,False,United States of America,,,Serious,,,,
Encinitas,33.0454,-117.293,False,United States of America,,,Extremely serious,,,,
Evanston,42.0669,-87.6898,False,United States of America,Less Serious,,Serious,,,,
Fayetteville,36.0821,-94.1719,False,United States of America,Serious,Serious,Serious,Serious,,,
Ferrara,44.8357,11.619,False,Italy,Serious,,Serious,,,,
Flagstaff,35.1992,-111.631,False,United States of America,,,Extremely serious,,Serious,,
Fort Collins,40.5853,-105.084,False,United States of America,Serious,,Serious,,,,
Fort Worth,32.7555,-97.3308,False,United States of America,,,,,Serious,,
Fortaleza,-10.7183,-48.3936,False,Brazil,,,Serious,,,,
Franco da Rocha,-23.3094,-46.732,False,Brazil,,,Serious,,,,
Frederikshavn,57.4427,10.521,False,Denmark,,,Extremely serious,,,,
Fremont,37.5483,-121.989,False,United States of America,,Less Serious,Serious,,Less Serious,,
Fresno,36.7468,-119.773,False,United States of America,,Serious,Serious,,,,
"General Alvear, Buenos Aires",-34.978,-67.6955,False,Argentina,Extremely serious,,Extremely serious,Serious,,,
GoiÃ¢nia,-16.6869,-49.2648,False,Brazil,Serious,Serious,Serious,Serious,,,
Gretna,29.9164,-90.0542,False,United States of America,Serious,,Extremely serious,Extremely serious,,,
Guadalajara,20.6597,-103.35,True,Mexico,,,Serious,,,,
GuarujÃ¡,-23.9946,-46.2569,False,Brazil,Extremely serious,,Serious,Serious,,,Less Serious
Guelph,43.55,80.25,False,Canada,Serious,Less Serious,Serious,Serious,Less Serious,Less Serious,Serious
GuimarÃ£es,41.4443,-8.29224,False,Portugal,Serious,,Serious,,,,
Hamilton,43.25,-79.8661,False,Canada,Less Serious,,Serious,,,,
Harare,-17.8284,30.9328,False,Zimbabwe,,,Serious,Serious,,,
Hayward,37.6689,-122.081,False,United States of America,,,Extremely serious,,Serious,,
Ho Chi Minh,10.7626,106.66,True,Viet Nam,Serious,Less Serious,,Less Serious,Less Serious,,
Hong Kong,22.2881,114.14,True,"China, Hong Kong Special Administrative Region",,,Serious,Serious,,,
Honolulu,21.28,157.59,False,United States of America,,,Serious,Serious,,Serious,
Huntington Beach,33.6603,-117.999,False,United States of America,,,Extremely serious,,,,
Hutt City,-41.2092,174.908,False,New Zealand,Serious,,,,,,
Hvidovre,55.6425,12.4754,False,Denmark,Serious,,,Serious,,,
Iasi,47.1,27.35,False,Romania,,,Serious,,,,
Ibadan,7.37753,3.94704,False,Nigeria,Serious,,,,,,
IbaguÃ©,4.44851,-75.24,False,Colombia,,Serious,Extremely serious,Serious,,,
Ilha,-15.0364,-40.7323,False,Mozambique,Serious,,Serious,Serious,,,Serious
Independencia,-32.8421,-68.8154,False,Chile,,,Serious,,,,
Indianapolis,39.7676,-86.1785,False,United States of America,Serious,,Serious,Serious,,,
Iskandar,5.71447,100.992,False,Malaysia,,,Serious,,,,
JICOSUR,19.34,-104.38,False,Mexico,Less Serious,Less Serious,Serious,Serious,,,Less Serious
JIMAV,19.7682,-104.367,False,Mexico,Serious,Serious,Serious,Serious,,,
Jakarta,-6.1751,106.865,True,Indonesia,Serious,,Serious,Serious,Serious,,
Johannesburg,-26.2041,28.0473,True,South Africa,,,Serious,,,,
Juruena,-10.3178,-58.3589,False,Brazil,,,,Serious,,,
JuÃ¡rez,31.6904,-106.425,False,Mexico,,,Serious,,,,
Kansas City,39.1429,-94.573,False,United States of America,,,,Extremely serious,,,
Kaohsiung,22.6297,120.344,False,"Taiwan, Greater China",,,Serious,,,,
Karachi,24.9108,67.1281,True,Pakistan,,,Extremely serious,,,,
Key West,81.78,24.5551,False,United States of America,,,Extremely serious,,,,
Kisumu,-0.0917,34.7679,False,Kenya,Extremely serious,Serious,,,,,
Kolkata,22.5726,88.3639,True,India,,,,Serious,,,
La Barca,20.2903,-102.546,False,Mexico,,Serious,Serious,Serious,,,
La Crosse,43.8014,-91.2396,False,United States of America,Serious,,,Serious,,,
LaGrange,40.0428,-91.4976,False,United States of America,Serious,,,,,,
Lagos,6.52437,3.3792,True,Nigeria,Serious,Serious,Serious,Serious,Extremely serious,Extremely serious,Serious
Lahti,60.9833,25.65,False,Finland,Serious,,Serious,Serious,,,
Lakewood,39.7047,-105.081,False,United States of America,Serious,,Serious,Serious,Serious,,
"Lancaster, PA",40.0379,-76.3055,False,United States of America,Serious,,,Serious,,,
Las Vegas,36.1699,-115.14,False,United States of America,Serious,Serious,Extremely serious,Serious,Less Serious,,Less Serious
Laval,45.6207,-73.7126,False,Canada,,Less Serious,,,,,
Leicester,52.6333,-1.1333,False,United Kingdom of Great Britain and Northern Ireland,,,Serious,Serious,,,
Leticia,-4.21528,-69.9406,False,Colombia,,,,Serious,,,
Lilongwe,-13.9626,33.7741,False,Malawi,,,Extremely serious,,,,
Limeira,-22.5665,-47.3974,False,Brazil,,,Serious,,,,
London,51.5048,-0.07868,True,United Kingdom of Great Britain and Northern Ireland,,Serious,Serious,,,,Less Serious
Londrina,-23.3356,-51.1505,False,Brazil,Serious,,,,Less Serious,,
Long Beach,33.7701,-118.194,False,United States of America,,,Serious,Less Serious,,,
Lorena,-22.7339,-45.1201,False,Brazil,Extremely serious,,Extremely serious,Serious,,Serious,
MaceiÃ³,-9.67342,-35.718,False,Brazil,Serious,,,Serious,,,
Manhattan Beach,33.8889,-118.405,False,United States of America,,,Serious,,,,
Mannheim,49.4875,8.46603,False,Germany,,,,,Serious,,
Mazabuka,-15.8613,27.7491,False,Zambia,Extremely serious,,Serious,,,,
MedellÃ­n,6.22729,-75.5735,True,Colombia,Serious,,Serious,,,,
Memphis,35.1495,-90.049,False,United States of America,Serious,,Less Serious,,,,
Mendoza,-32.8894,-68.8458,False,Argentina,,,Serious,Serious,,,
Mexico City,19.4326,-99.1332,True,Mexico,,,Extremely serious,Serious,,,
Miami Beach,25.7906,-80.13,False,United States of America,,,Serious,Serious,,,
Minneapolis,44.9833,-93.2667,False,United States of America,,,Less Serious,,,,
Miraflores,-16.3994,-71.5366,False,Peru,,,Extremely serious,,,,
Mirandela,41.51,-7.1753,False,Portugal,Serious,,Serious,,,,
Moab,38.57,-109.54,False,United States of America,,,Serious,,,,
MonterÃ­a,8.74798,-75.8814,False,Colombia,Less Serious,,Serious,,,,
Murcia,37.799,-1.00495,False,Spain,Serious,,Extremely serious,,,,
MÃ©rida,20.9674,-89.5926,False,Mexico,Serious,,,,,,
Nacala,-14.5656,40.6854,False,Mozambique,,,Serious,,,,
Nagoya,35.1815,136.906,False,Japan,Serious,,,Serious,,,
Nairobi,-1.29206,36.8219,True,Kenya,Serious,,Serious,,,,
Nakuru,-0.30309,36.08,False,Kenya,Serious,Extremely serious,Serious,Serious,,,
Nashville,36.1627,-86.7816,False,United States of America,Less Serious,,Serious,Serious,,,
Natal,-5.77925,-35.2009,False,Brazil,Serious,,Serious,,,,
Natchez,31.5604,-91.4032,False,United States of America,,,,Serious,,,
Naucalpan de JuÃ¡rez,19.4631,-99.2453,False,Mexico,,,Serious,,,,
New Bedford,41.6362,-70.9342,False,United States of America,,,,Serious,,,
New Plymouth District,-39.1011,174.354,False,New Zealand,,Serious,,Extremely serious,,,
New Taipei,25.0111,121.446,False,"Taiwan, Greater China",,,Less Serious,,,,
Nijmegen,51.8449,5.84282,False,Netherlands,Serious,,,,,,
NiterÃ³i,-22.8928,-43.1184,False,Brazil,,,Serious,Serious,,,
North Vancouver,49.32,-123.072,False,Canada,Serious,Serious,Serious,Serious,,,
Oakland,37.8044,-122.271,False,United States of America,,,Extremely serious,Serious,Serious,,Serious
OlÃ­mpia,-20.7371,-48.9111,False,Brazil,,,Serious,,,,
Oristano,39.7207,8.898,False,Italy,Serious,,Serious,,,,
Oslo,59.9139,10.7522,True,Norway,Less Serious,,Extremely serious,,,,
Ovar,40.8901,-8.59723,False,Portugal,Serious,,,,,,
Palmira,3.53944,-76.3036,False,Colombia,Serious,Serious,Serious,,,,
Paris,48.8566,2.35222,True,France,Extremely serious,,Extremely serious,,,,
Park City,40.6461,-111.498,False,United States of America,,,Serious,Serious,,,
Parma,44.8015,10.3279,False,Italy,,,Serious,,,,
Pemba,-12.9732,40.5178,False,Mozambique,,Serious,Serious,Serious,,Serious,
Phoenix,33.4484,-112.074,False,United States of America,,,Serious,,Serious,,
Piedmont,37.8244,-122.232,False,United States of America,,,Less Serious,,Less Serious,,
PingtungÂ County,22.6558,120.47,False,"Taiwan, Greater China",Extremely serious,,,,,,
PirenÃ³polis,-15.8545,-48.9595,False,Brazil,Extremely serious,,Serious,,,,
Pittsburgh,40.4406,-79.9959,False,United States of America,Serious,,Serious,Serious,,,
Podgorica,42.4304,19.2594,False,Montenegro,Serious,,Serious,Serious,Less Serious,,
"Portland, ME",43.6615,-70.2553,False,United States of America,Serious,,,Serious,,,
"Portland, OR",45.52,-122.682,True,United States of America,Serious,,,Serious,Serious,,Serious
Prince George,53.9171,-122.75,False,Canada,Extremely serious,,,Serious,,,
Providencia,-33.4313,-70.6092,False,Chile,Serious,,Serious,,,,
Puerto Barrios,-88.5944,15.7278,False,Guatemala,Less Serious,,Less Serious,,,,
PÃ¤rnu,58.3858,24.4966,False,Estonia,,,Serious,,,,
Quelimane,-17.8503,36.9218,False,Mozambique,Serious,,,Serious,,,Serious
Quito,-0.2333,-78.5167,True,Ecuador,,,Serious,,,,
Ramsey,45.2611,-93.45,False,United States of America,,Less Serious,,,,,
Recife,-8.05783,-34.8829,False,Brazil,Extremely serious,,,,,,
Reggio Emilia,44.4376,10.8774,False,Italy,,,Serious,,,,
Reno,39.5296,-119.814,False,United States of America,,,Serious,Serious,,,
ReykjavÃ­k,64.1265,-21.8174,False,Iceland,Less Serious,,Less Serious,,,,
"Richmond, VA",37.5407,-77.436,False,United States of America,,,,Serious,,,
Riga,56.9496,24.1052,False,Latvia,Less Serious,,,Serious,Less Serious,Serious,
Rio Verde,-17.9685,-50.4892,False,Brazil,Extremely serious,,,,,,
Rio de Janeiro,-22.9054,-43.5614,True,Brazil,,,Serious,Extremely serious,,Serious,
Rochester,43.161,-77.6109,False,United States of America,Serious,,Serious,,,,
Roma,41.53,12.2858,True,Italy,,,Extremely serious,Serious,,,
Rostock,54.0887,12.1405,False,Germany,,,,Serious,,,
Sacramento,38.5816,-121.494,False,United States of America,,,Serious,,,,
Salt Lake City,40.7608,-111.891,False,United States of America,Serious,,Extremely serious,Serious,,,
San Antonio,29.4241,-98.4936,False,United States of America,,,Serious,,,,
San Francisco,37.7749,-122.419,True,United States of America,,,Serious,,,,
San Isidro (Lima),-12.0977,-77.0273,False,Peru,,,Extremely serious,Serious,Serious,,
"San JosÃ©, CA",37.3382,-121.886,False,United States of America,,,Serious,,,,
San Leandro,37.7249,-122.156,False,United States of America,,,Serious,Serious,,,
San Pedro de UrabÃ¡,-76.3414,8.34552,False,Colombia,Serious,,,,,,
"Santa Cruz, CA",36.9741,-122.031,False,United States of America,,,Serious,,,,
Santa Fe County,35.5,-106.0,False,United States of America,,Serious,Serious,,,,
SantarÃ©m,39.2367,-8.68599,False,Portugal,,,Serious,,,,
Santiago,-33.4489,-70.6693,False,Chile,Extremely serious,Extremely serious,Extremely serious,,,,
Santiago,-33.4489,-70.6693,True,Chile,Serious,,Serious,,,,Serious
Santiago de Cali,3.45164,-76.532,False,Colombia,Serious,,,,,,
Santiago de Guayaquil,-2.17099,-79.9223,False,Ecuador,,,Serious,,,,
Santiago de Surco,-12.1453,-77.0051,False,Peru,,,Extremely serious,,,,
Saratoga Springs,43.0333,-73.8167,False,United States of America,Less Serious,Less Serious,,,,,
Saskatoon,52.1332,-106.67,False,Canada,Serious,,Serious,Serious,,,
Seattle,47.6062,-122.332,True,United States of America,,,Serious,,,,
Sekhukhune District Municipality,-24.8335,29.974,False,South Africa,Serious,,,,,,
Sincelejo,9.30457,-75.3906,False,Colombia,Serious,,Serious,,Serious,,
SopÃ³,4.9075,-73.9384,False,Colombia,,Less Serious,,,,,
Sorocaba,-23.4775,-47.4221,False,Brazil,Extremely serious,Serious,Serious,Serious,,,
St Catharines,43.1594,-79.2469,False,Canada,Serious,,,Serious,Less Serious,,
St Louis,38.627,-90.1994,False,United States of America,,,,Serious,,,
Stockholm,59.3293,18.0686,True,Sweden,Less Serious,,Serious,,,,
Surfside,25.8789,-80.1233,False,United States of America,,,Serious,Serious,,,
Suwon,37.17,126.805,False,Republic of Korea,,,Serious,,,,
SÃ£o Bento do SapucaÃ­,-22.6874,-45.732,False,Brazil,Extremely serious,Extremely serious,Extremely serious,Extremely serious,,,
SÃ£o Leopoldo,-29.761,-51.1493,False,Brazil,,Less Serious,Less Serious,Less Serious,Less Serious,,
SÃ£o Paulo,-23.5595,-46.7382,True,Brazil,,,Serious,,,,
SÃ£o Vicente,-23.963,-46.3919,False,Brazil,,Less Serious,,,,,
Taichung,24.1619,120.647,False,"Taiwan, Greater China",,,Less Serious,,,,
Taipei,25.0375,121.564,False,"Taiwan, Greater China",Less Serious,,Serious,,,,
TangarÃ¡ da Serra,-14.6194,-57.4858,False,Brazil,,,Serious,,,,
TatuÃ­,-23.3492,-47.8466,False,Brazil,Serious,,Serious,,,,
Tegucigalpa,14.1051,-87.2044,False,Honduras,,,,,Serious,,
Tempe,33.4255,-111.94,False,United States of America,,,Serious,,,,
The Hague,52.0705,4.3007,False,Netherlands,Serious,,Serious,,,,
Tokyo,35.41,139.41,True,Japan,Serious,,Serious,Serious,,,
Toledo,41.6639,-83.5552,False,United States of America,Extremely serious,,,,,,
Torres Vedras,38.7637,-9.30148,False,Portugal,Serious,,Serious,Serious,,,
TorreÃ³n,25.5428,-103.407,False,Mexico,Extremely serious,Serious,Serious,,,,
Tuzla,44.5375,18.6735,False,Turkey,,,Serious,,,,
Urla,38.3434,26.5536,False,Turkey,Less Serious,,,,,,
Vail,39.6403,-106.374,False,United States of America,Serious,,Serious,,,,
Vancouver,49.2612,-123.114,True,Canada,,,Less Serious,,,,
Vhembe,-22.7695,29.974,False,South Africa,Extremely serious,,Extremely serious,,,,
Vinhedo,-23.0307,-46.9838,False,Brazil,,,Serious,,,,
VitÃ³ria,-20.3338,-40.3776,False,Brazil,Serious,,Serious,,Serious,,
Warsaw,52.2297,21.0122,True,Poland,,,Serious,,,,
"Washington, DC",38.9072,-77.0369,True,United States of America,Serious,,Serious,Serious,,,
Wellington,-41.2865,174.776,False,New Zealand,,,Serious,Serious,,,
West Coast District Municipality,-32.0951,18.627,False,South Africa,,,Extremely serious,,,,
West Hollywood,34.09,-118.362,False,United States of America,,,Serious,,,,
West Palm Beach,26.7153,-80.0534,False,United States of America,,,Extremely serious,Serious,,,
Windhoek,-22.5609,17.0658,False,Namibia,,,Serious,,,,
Windsor,42.3149,-83.0364,False,Canada,Serious,,Less Serious,,,,
Winston-Salem,36.0999,-80.2442,False,United States of America,,,Less Serious,,,,
Wollongong,-34.4278,150.893,False,Australia,Serious,,Serious,,,,
Xalapa,20.1318,-98.7556,False,Mexico,,Serious,Serious,Serious,Serious,,
YaoundÃ© 6,3.86181,11.5191,False,Cameroon,,,Serious,Serious,,,
Yokohama,35.4437,139.638,True,Japan,,,Serious,,,,
Ãlhavo,38.85,-7.58,False,Portugal,Serious,,Serious,,,,
Ã–rebro,59.2741,15.2066,False,Sweden,,,Less Serious,,,,
